Width,Complexity,Fifo,Multiplier,Energy-,Inv_runtime-
3,1,1,2,7.882967008,4.667403539
7,0,2,1,6.144515496,4.923426501
4,1,4,10,7.782709969,5.080353221
6,1,4,20,7.978390142,5.111081381
6,1,3,50,8.902718788,5.117955552
3,1,2,2,7.881933754,4.679288806
5,1,1,50,8.947271652,5.114503927
4,1,4,1,7.254650728,4.68779634
4,0,1,20,7.958239493,5.096536076
3,0,4,20,8.239068608,5.051194744
7,1,1,100,9.726829514,5.123157473
4,1,2,20,8.21162552,5.093925707
7,1,3,20,7.937150152,5.112800375
5,1,3,20,8.059182199,5.107607992
7,0,2,2,6.290129465,5.022484651
5,0,3,2,6.536861081,4.97692226
6,0,2,10,7.162582668,5.102447958
3,0,3,2,7.353587949,4.71815563
5,0,2,20,7.834932386,5.110228707
5,0,3,20,7.834932386,5.110228707
6,1,1,1,6.771397028,4.850638689
7,1,3,50,8.880039571,5.119684617
3,1,4,100,9.965784285,5.066154451
7,1,2,100,9.726829514,5.123157473
5,1,3,50,8.947271652,5.114503927
4,0,3,100,9.746890481,5.104194403
4,0,2,2,6.812883235,4.915289944
7,0,1,50,8.780969477,5.120554394
7,0,2,50,8.780969477,5.120554394
4,0,1,50,8.900257005,5.101620629
3,1,3,20,8.548710187,5.046250314
3,0,1,100,9.858304322,5.066162087
7,1,3,2,6.775695869,4.998378999
6,1,4,2,6.867241668,4.983829961
3,0,4,100,9.858304322,5.066162087
5,1,3,100,9.766851864,5.117965171
5,1,2,5,7.2638701,5.058114363
7,1,2,50,8.880039571,5.119684617
6,0,4,5,6.722670938,5.07987808
6,0,4,20,7.772288178,5.11366646
7,1,3,1,6.673217192,4.878750454
3,0,3,10,7.807606084,5.029858801
4,0,4,1,6.713324647,4.726992878
5,1,4,1,6.951937423,4.79503586
3,0,2,5,7.540786742,4.946186618
6,0,4,50,8.797687462,5.118824889
6,1,1,10,7.466488455,5.097367013
6,1,4,5,7.121688916,5.0697917
7,0,1,10,7.113783832,5.104157682
3,0,1,20,8.239068608,5.051194744
4,0,1,1,6.713338396,4.726862484
3,1,1,20,8.548710187,5.046250314
4,0,3,10,7.429866991,5.085429403
5,1,1,10,7.578999076,5.093870967
6,1,2,100,9.740247934,5.121424796
5,0,3,5,6.849711592,5.068121424
3,0,2,50,9.069460509,5.061161897
7,0,2,5,6.656067274,5.083255384
6,1,2,10,7.466488455,5.097368445
4,0,3,20,7.958239493,5.096536076
