Width,Complexity,Fifo,Multiplier,Energy-,Inv_runtime-
7,0,2,50,8.780969477,5.120554394
4,0,2,1,6.713324647,4.726992878
5,0,1,1,6.415403762,4.83712609
4,0,2,10,7.429866991,5.085422986
7,0,1,20,7.739753612,5.115354732
6,1,4,100,9.740247934,5.121424796
5,0,3,20,7.834932386,5.110228707
3,0,4,100,9.858304322,5.066162087
4,1,3,1,7.254650728,4.68779634
6,1,3,5,7.121688916,5.0697917
6,1,2,1,6.771370616,4.850979895
6,0,1,20,7.772288178,5.11366646
4,0,4,100,9.746890481,5.104194403
6,0,4,2,6.376724488,5.00769312
4,0,1,5,7.075885561,5.041574063
3,1,2,10,8.211265344,5.02012911
7,0,1,5,6.656067274,5.083255384
7,1,2,10,7.408083432,5.099070723
5,0,4,20,7.834932386,5.110228707
7,0,1,50,8.780969477,5.120554394
3,1,3,100,9.965784285,5.066154451
6,0,2,50,8.797687462,5.118824889
6,0,3,2,6.376724488,5.00769312
7,1,2,50,8.880039571,5.119684617
6,0,4,50,8.797687462,5.118824889
3,0,1,5,7.540786742,4.946184483
5,0,1,10,7.256642729,5.099033588
7,1,1,10,7.408083432,5.099070723
3,1,1,5,8.014701195,4.925247532
3,1,4,100,9.965784285,5.066154451
5,1,3,1,6.951937423,4.79503586
6,0,2,1,6.24014257,4.894785504
5,0,1,100,9.702370112,5.117968127
3,0,3,1,7.285531686,4.401580549
7,0,2,100,9.672985692,5.123159887
3,0,1,10,7.807606084,5.029864975
3,1,1,20,8.548710187,5.046250314
3,1,3,2,7.881933754,4.679288806
6,0,4,20,7.772288178,5.11366646
4,1,1,20,8.21162552,5.093925707
5,1,3,5,7.2638701,5.058114363
5,1,1,10,7.578999076,5.093870967
6,0,4,5,6.722670938,5.07987808
3,1,4,2,7.881933754,4.679288806
3,1,2,5,8.014260434,4.927881398
5,1,2,100,9.766851864,5.117965171
5,1,4,50,8.947271652,5.114503927
4,1,4,2,7.32378437,4.892895336
6,0,1,100,9.682815552,5.121427207
4,1,4,100,9.824529208,5.104190483
5,0,4,50,8.830730684,5.115372185
6,0,2,5,6.722670938,5.07987808
5,0,2,10,7.256642729,5.099031659
7,1,2,20,7.937150152,5.112800375
7,1,3,2,6.775695869,4.998378999
4,0,3,100,9.746890481,5.104194403
7,1,2,2,6.775695869,4.998378999
3,0,3,10,7.807606084,5.029858801
4,1,2,5,7.513253856,5.031756014
3,1,2,1,7.835102979,4.33936051
