Max_spout,Spliters,Counters,Throughput+,Latency-
1000,1,12,21808,470.82
100,1,3,15515,75.825
1000,3,9,22911,521.23
1000,2,12,32399,332.68
1,3,3,5058.6,3.5506
1.00E+06,1,3,51949,53632
1.00E+05,1,3,18689,51009
10,3,12,17130,6.2694
1,2,12,4288.1,2.3965
10000,1,9,20060,3340.5
10,1,1,8226.1,13.733
100,1,18,20121,56.687
10,2,15,19505,5.6023
10000,1,3,20072,4961.1
1.00E+05,1,18,21145,41498
1.00E+05,6,15,25927,834.61
10,1,9,14807,7.5491
100,2,1,8746,117.57
1.00E+05,1,12,19390,41428
1000,3,12,22122,501.11
10000,6,18,26558,1099.8
1.00E+06,2,18,65823,46988
1.00E+05,3,18,21527,1635.1
100,6,6,21587,48.702
1,1,3,4160.1,2.6057
1.00E+05,1,6,27212,25993
10000,3,15,21523,1524.7
10,3,15,17209,6.2798
1,2,18,4236.2,2.4647
1.00E+06,3,15,19319,1711.5
10,6,1,7524.2,13.959
1,1,12,4013.8,2.5474
10000,3,6,18757,1658.8
100,2,6,20814,53.103
1000,2,6,25805,463.33
10,2,9,18652,6.2867
10000,1,6,29612,4304.9
1000,3,18,21701,482.7
10,2,6,18462,6.481
1000,2,3,22289,518.71
1,2,15,4291.2,2.4462
10000,2,12,35418,3138.8
10,1,12,15374,7.1335
100,2,3,18568,65.437
1.00E+05,6,6,26583,1151.3
10000,2,18,31933,3296.5
1.00E+05,3,6,18216,1821.7
1.00E+05,1,15,20828,41317
100,2,18,25565,39.447
10,3,18,16140,7.2948
