Max_spout,Spliters,Counters,Throughput+,Latency-
100,6,12,47366,20.042
100,1,4,46717,22.151
1,3,9,6753.5,1.5161
1000,2,16,63510,116.06
1000,3,14,60581,167.99
1000,3,2,60799,166.47
1.00E+05,3,12,56804,806.52
100,4,10,50731,20.16
10,6,7,31102,3.1728
100,1,14,53658,17.361
1,1,15,5257.5,1.9272
1.00E+06,1,6,67297,53340
10000,3,16,57894,753.81
10,5,12,28589,3.5364
1,1,1,5434.7,1.8632
1.00E+06,4,14,55471,842.9
1000,4,12,54865,184.36
1,2,4,5775.6,1.7408
10000,1,13,64277,1595.8
10,5,13,28871,3.541
1.00E+05,1,13,65445,14273
1.00E+05,1,2,56635,16829
1,4,10,6328.6,1.6178
1.00E+06,4,10,54489,824.36
10,4,15,29159,3.4936
1.00E+05,5,12,58277,825.91
1.00E+05,4,9,52139,816.63
1.00E+06,4,3,37308,963.54
1.00E+05,5,5,44880,841.33
100,4,7,54730,18.332
1.00E+05,5,8,53160,868.4
1,5,17,6394.5,1.6168
10000,6,11,46686,513.58
1000,6,17,44658,195.48
100,6,15,46076,19.476
100,4,16,52702,18.764
100,3,3,45752,21.69
10,4,8,29361,3.4324
1.00E+05,6,16,47476,535.45
1.00E+06,1,15,85140,40213
1,4,8,6386.8,1.531
1,2,10,5370.8,1.8457
1.00E+06,2,17,91538,37087
1000,2,18,65133,143.95
1,3,14,6560.3,1.5364
1,1,16,5283.2,1.9688
1,6,14,6914.1,1.4566
1.00E+05,5,1,28325,1347.7
1.00E+05,5,16,54569,931.08
1.00E+06,1,10,73506,40071
