A,B,C,A-,B-
6,25,4,14.68710225,11.28592421
5,35,4,13.8864587,12.99935382
4,1,5,9.592457037,6.564959804
2,8,4,10.19844504,7.921882077
8,19,3,15.88464752,11.81792813
5,22,3,13.66810937,10.97174771
3,22,3,11.7903485,9.962558736
6,19,4,14.33998915,10.79276682
3,4,5,10.53138146,7.654109752
6,1,5,11.43201985,6.942698771
6,22,4,14.5716934,11.21018897
2,16,5,11.08812569,8.690660805
8,22,3,16.13979114,11.91089241
5,2,5,11.40301202,7.665281857
1,2,5,8.113742166,4.866478395
0,36,1,10.65910396,8.8341948
5,36,1,13.52380696,13.23156242
5,4,5,12.37150441,8.565523889
6,36,1,14.48179943,13.70214888
0,7,3,8.924812504,5.870474631
2,35,3,10.7548875,10.60570099
4,19,4,12.63934071,10.19099723
4,25,4,12.97620609,11.32123577
0,1,5,7.098032083,2.858160813
4,22,4,12.84979602,10.55821909
2,35,4,11.35093918,10.65835576
1,22,4,10.32305476,8.210060462
3,7,3,10.88798213,8.553987328
4,35,3,12.69913863,12.15636984
2,36,1,10.67419227,10.66419664
0,22,4,10.27262979,7.208748533
3,32,5,12.84588203,10.53302527
4,15,4,12.43931146,9.998033505
7,25,3,15.4098881,11.39965412
7,35,3,15.48116875,13.65268358
3,7,4,10.75154406,8.522529897
6,15,3,14.19521839,10.972042
5,14,4,13.20579325,10.46604202
4,15,3,12.35066299,9.859624439
8,25,4,16.20472396,11.73287415
6,25,3,14.64103567,11.28664203
5,35,3,13.61401961,13.00194029
5,25,4,13.84960057,11.60519175
4,14,4,12.30777003,9.873365398
4,35,4,12.72792045,11.83287847
1,35,4,10.509775,9.767290131
3,2,5,9.668884984,6.792616241
0,7,4,8.829722735,5.78971557
8,7,3,15.10328781,10.52989738
3,36,1,11.77231457,11.47418769
