Spout,Split,Count,Buffer_size,Heap,Throughput+,Latency-
2,6,6,1.05E+08,2048,13050,145.75
2,6,1,1.05E+07,512,9789,197.19
1,6,9,2.62E+05,2048,13824,69.907
1,3,3,1.05E+07,512,12192,78.38
2,3,3,2.62E+05,512,11589,172.21
1,3,1,5.24E+06,512,8571.8,110.88
2,3,3,2.62E+05,2048,11877,167.73
2,1,9,1.05E+08,2048,13820,144.9
2,3,3,5.24E+06,1024,11637,171.71
3,2,1,1.05E+07,512,8170.9,370.08
1,6,9,2.62E+05,512,13387,70.633
2,6,9,1.05E+08,2048,14121,137.87
2,2,1,1.05E+08,1024,8476.8,242.01
3,1,12,1.05E+07,1024,12464,242.18
2,3,3,1.05E+07,2048,11394,178.65
1,1,6,2.62E+05,2048,13516,71.818
3,1,2,2.62E+05,512,11108,272.23
2,6,9,1.05E+08,512,14311,141.58
3,3,6,1.05E+07,2048,15446,200.21
1,6,6,5.24E+06,1024,12790,75.418
2,6,12,1.05E+07,512,15587,129.74
2,6,3,1.05E+08,2048,11818,164.83
2,1,1,1.05E+06,2048,7851.3,262.75
3,6,3,1.05E+06,2048,13699,223.01
1,3,6,1.05E+07,512,13052,72.387
1,2,2,5.24E+06,1024,10979,90.24
1,6,3,1.05E+08,2048,12814,76.921
1,1,9,1.05E+08,512,14117,68.127
2,3,6,2.62E+05,1024,12656,158.11
3,2,3,5.24E+06,1024,12451,245.09
2,2,9,1.05E+08,2048,14045,145.76
1,6,12,1.05E+07,2048,14532,65.505
2,2,1,1.05E+07,1024,8324.9,243.35
2,3,12,1.05E+08,1024,14757,132.54
1,2,2,1.05E+08,2048,11455,83.516
1,3,1,1.05E+06,512,8556.9,111.33
1,3,1,1.05E+06,2048,8282.6,113.69
1,2,6,1.05E+06,512,17898,54.633
1,2,9,5.24E+06,512,19541,50.401
2,3,12,5.24E+06,512,14808,137.62
2,3,6,2.62E+05,512,12877,150.37
1,6,3,2.62E+05,512,12456,80.408
2,2,6,1.05E+08,2048,13623,150.31
2,1,2,5.24E+06,1024,10934,180.51
1,2,12,1.05E+07,1024,20356,48.387
2,2,3,1.05E+06,2048,12288,162.39
3,2,1,5.24E+06,2048,8473,365.42
3,2,3,1.05E+07,512,12599,237.2
2,6,9,2.62E+05,2048,14476,136.85
3,3,2,5.24E+06,1024,11357,275.88
1,3,2,1.05E+06,2048,11549,84.664
3,2,1,1.05E+08,512,8379.6,357.55
3,3,9,5.24E+06,1024,16386,191.05
2,6,1,1.05E+07,1024,10063,197.63
1,1,1,1.05E+07,512,9083.2,106.7
3,2,2,1.05E+08,512,11349,272.31
1,6,9,1.05E+06,1024,13433,70.547
1,3,2,1.05E+08,1024,11901,81.936
3,6,2,5.24E+06,2048,11850,255.85
3,6,3,5.24E+06,512,14131,218.18
3,6,6,2.62E+05,512,15483,203.68
3,6,12,1.05E+08,512,18409,170.51
3,2,6,1.05E+08,512,13938,213.61
1,1,9,2.62E+05,512,14975,65.207
2,1,2,1.05E+06,512,11215,185.16
1,2,1,1.05E+06,2048,7811.1,127.36
1,2,12,2.62E+05,2048,20534,49.505
2,1,3,1.05E+06,2048,12465,157.74
2,6,12,1.05E+06,1024,15471,125.77
2,6,2,5.24E+06,512,11574,176.28
