Max_spout,Spliters,Counters,Throughput+,Latency-
1,6,12,4638.4,2.2965
1.00E+05,2,18,32366,28518
100,2,3,18789,60.38
1.00E+06,1,18,46272,83169
1.00E+05,3,12,19027,1568.1
1.00E+05,3,6,17406,2010.2
100,3,3,17860,61.224
10,6,18,17697,5.2977
1.00E+06,1,9,35978,85576
10,1,15,13048,8.2902
10,6,1,7599.1,13.874
1,1,9,4059.4,2.5699
10,1,1,7494.8,15.267
10,1,12,13208,8.4711
10,6,6,17588,5.4324
1.00E+05,3,18,17900,1829.9
1.00E+05,2,15,29311,33300
100,6,12,23470,35.825
1.00E+06,1,3,43144,77076
1.00E+06,6,6,24009,1028
1,1,12,4032,2.6341
1.00E+06,1,15,39811,83368
100,1,3,17561,66.278
1,3,9,4646.2,2.2873
100,6,6,21305,46.838
1000,2,3,22093,522.18
1.00E+06,2,12,60713,73693
1.00E+05,2,6,26935,36587
1.00E+05,3,9,21496,1595.8
10,2,18,18872,5.704
10000,6,12,26973,856.94
10000,3,1,8160,13166
1.00E+06,6,15,25389,812.2
1.00E+05,6,3,19790,2276.2
1.00E+05,6,12,25490,953.19
1000,3,18,21098,501.84
10,3,1,7221.4,19.849
100,6,15,21993,42.093
10000,6,18,25694,828.89
100,1,1,8600.1,142.45
10,2,1,6876.2,16.932
10000,2,3,23990,4735
1,1,3,4098.6,2.5385
1.00E+05,1,9,18336,49528
10,3,12,15038,7.0763
1.00E+06,1,12,38675,84330
1.00E+05,2,1,6209.4,83712
1,2,12,4224.6,2.4514
1000,6,3,21467,512.14
100,3,1,7864.7,131.92
