A,B,C,D,E,F,G,H,I,J,K,A-,B-
1,0,0,1,0,1,0,1,1,0,1,246.65,18
1,1,1,1,1,1,0,0,1,1,0,245.76,28
1,1,0,1,1,0,0,1,1,1,0,252.68,19
1,0,0,1,1,0,1,0,0,1,0,224.3,28
1,0,1,0,1,1,0,0,1,0,0,220.39,29
1,0,1,1,1,0,1,0,0,1,1,235.95,27
1,0,0,1,1,1,0,0,0,1,0,225.26,29
1,0,0,1,1,1,0,0,0,1,1,233.79,28
1,1,0,1,1,1,0,0,1,0,0,222.27,29
1,1,1,0,1,0,1,0,1,0,0,221.78,29
1,0,1,0,1,0,0,1,0,0,0,214.25,14
1,0,1,0,1,1,1,0,0,0,1,219.08,29
1,0,0,0,1,1,0,1,1,0,1,248.71,18
1,0,1,0,1,0,0,0,1,1,0,241.02,28
1,0,0,0,1,0,0,1,1,0,1,247.25,16
1,0,0,0,0,0,0,0,1,1,0,234.87,29
1,0,1,0,1,0,1,1,0,0,1,261.84,12
1,1,0,1,0,1,0,0,1,1,0,243.12,28
1,0,0,1,0,0,0,1,0,0,1,243.08,14
1,1,1,1,1,0,0,1,1,1,0,253.96,19
1,0,0,0,1,0,0,0,1,0,1,232.22,29
1,0,1,1,1,1,0,1,0,1,0,239.32,15
1,1,0,0,1,0,1,1,0,0,0,213.85,15
1,0,1,0,1,1,0,0,0,1,1,234.01,28
1,0,1,0,1,1,0,0,1,1,1,249.72,28
1,0,1,0,1,1,0,1,1,0,1,251.02,18
1,1,0,1,0,0,0,0,0,1,1,234.1,28
1,0,1,1,1,0,1,0,0,1,0,225.69,29
1,0,0,0,1,0,1,1,0,1,0,234.25,16
1,0,0,0,0,0,0,0,0,1,1,228.3,29
1,0,0,1,1,0,0,0,1,0,1,232.65,27
1,0,0,1,0,0,1,0,0,0,0,200.82,29
1,1,0,1,1,0,1,0,1,1,1,252.81,28
1,0,1,1,1,0,1,1,0,0,1,265.65,12
1,0,0,0,0,1,1,1,1,0,0,226.75,18
1,0,0,0,0,1,0,0,0,0,0,200.38,29
1,1,1,0,1,1,0,1,1,0,1,252.09,18
1,0,0,0,0,0,1,1,0,1,0,231.33,16
1,1,1,1,1,0,0,1,0,1,1,254.59,15
1,1,0,0,0,1,1,0,0,0,0,202.94,29
1,0,1,0,1,0,0,1,0,1,1,248.78,15
1,0,1,1,1,0,0,1,0,0,1,247.37,14
1,0,0,1,0,1,1,0,1,1,0,240.21,28
1,1,0,1,0,0,0,0,0,0,0,201.52,26
1,0,1,0,1,1,0,0,1,1,0,240.98,28
1,1,1,0,1,1,1,1,0,0,0,218.23,14
1,1,1,1,1,0,0,0,1,0,0,222.43,29
1,0,0,1,1,0,0,0,0,0,0,201.9,26
1,1,0,1,1,0,0,1,1,0,0,229.12,19
1,0,0,1,0,0,0,0,1,1,0,236.89,29
1,1,0,0,0,0,0,1,1,1,1,264.6,18
1,1,1,1,1,1,1,1,0,0,1,265.69,12
1,0,0,1,1,0,0,0,1,1,0,239.27,29
1,0,1,1,1,1,1,1,0,0,0,218.32,14
1,0,0,1,1,1,1,0,0,0,1,216.91,29
1,0,1,0,1,0,0,1,1,1,1,260.33,19
1,0,0,1,1,1,1,1,0,1,1,248.74,16
1,1,1,1,1,1,0,0,0,1,0,230.65,29
