Max_spout,Spliters,Counters,Throughput+,Latency-
1000,4,10,55124,184.06
1.00E+06,6,1,55673,6031.5
10,2,11,30705,3.2506
100,2,5,47051,22.11
10,1,6,28862,3.5443
1.00E+06,3,3,43923,834.66
1.00E+06,2,15,77306,17328
100,1,14,53658,17.361
1000,2,4,48976,203.12
10000,4,8,46546,851.16
1.00E+05,5,5,44880,841.33
1.00E+05,2,11,76492,11936
1,1,14,5042.6,1.9422
1,4,5,6869.1,1.4805
1.00E+05,6,12,44941,539.73
1.00E+06,1,5,69014,48267
1.00E+05,4,7,55388,796.09
1,5,9,6683.8,1.5397
100,6,16,46773,19.903
1.00E+05,5,16,54569,931.08
1000,6,16,45229,193.45
100,3,3,45752,21.69
100,2,1,39997,25.032
1,5,13,6373.1,1.5647
100,5,14,50797,19.589
1.00E+06,5,17,56517,846.58
100,5,5,45951,22.136
10000,3,15,58308,754.76
1.00E+05,5,18,55594,813.39
1.00E+05,5,17,57302,843.75
1,4,15,6276.2,1.6329
1.00E+05,6,10,44348,551.68
1.00E+06,4,5,41780,911.8
1.00E+05,3,13,57626,886.67
1,2,14,5464.8,1.9197
10000,4,18,53160,836.73
1.00E+05,1,2,56635,16829
10,5,13,28871,3.541
1,4,9,6256.8,1.6328
10,5,3,28968,3.4356
1.00E+06,2,17,91538,37087
100,5,13,50365,19.829
1.00E+05,6,8,47573,476.85
1000,3,10,55308,184.64
1.00E+05,1,10,65424,13340
10,6,4,32233,3.1626
1.00E+06,1,15,85140,40213
1.00E+05,2,16,70660,503.57
1.00E+05,5,10,55095,853.41
1.00E+05,4,1,47322,16401
