Width,Complexity,Fifo,Multiplier,Energy-,Inv_runtime-
4,0,4,20,7.958239493,5.096536076
3,0,3,50,9.069460509,5.061161897
4,1,1,10,7.782782034,5.080145742
6,0,2,20,7.772288178,5.11366646
6,1,1,1,6.771397028,4.850638689
5,0,2,50,8.830730684,5.115372185
6,0,4,5,6.722670938,5.07987808
3,0,3,1,7.285531686,4.401580549
3,1,1,1,7.836833049,4.309193816
3,0,2,2,7.353587949,4.71815563
3,1,1,10,8.211464912,5.019398421
5,1,4,50,8.947271652,5.114503927
4,1,3,50,9.037629313,5.100760951
6,0,4,50,8.797687462,5.118824889
7,1,2,10,7.408083432,5.099070723
6,1,1,100,9.740247934,5.121424796
7,1,3,2,6.775695869,4.998378999
5,1,2,5,7.2638701,5.058114363
3,1,3,2,7.881933754,4.679288806
7,0,1,5,6.656067274,5.083255384
6,0,4,10,7.162582668,5.102447958
7,1,3,100,9.726829514,5.123157473
7,1,1,100,9.726829514,5.123157473
6,0,2,100,9.682815552,5.121427207
5,1,2,1,6.951937423,4.79503586
4,1,1,100,9.824529208,5.104190483
4,1,3,10,7.782709969,5.08035737
5,0,2,5,6.849711592,5.068121424
7,0,1,2,6.290129465,5.022484651
5,0,3,1,6.415403762,4.837142461
6,1,3,1,6.771370616,4.850979895
4,0,1,20,7.958239493,5.096536076
7,1,1,1,6.673217192,4.878722314
5,0,3,5,6.849711592,5.068121424
5,0,1,100,9.702370112,5.117968127
4,1,3,1,7.254650728,4.68779634
4,0,2,10,7.429866991,5.085422986
7,0,2,100,9.672985692,5.123159887
4,0,2,5,7.075885561,5.041577674
3,0,1,20,8.239068608,5.051194744
3,0,2,1,7.285531686,4.401580549
4,1,2,1,7.254650728,4.68779634
3,0,1,2,7.353605591,4.718020678
4,1,3,20,8.21162552,5.093925707
5,1,3,5,7.2638701,5.058114363
4,0,4,5,7.075885561,5.041577674
7,1,1,2,6.775695869,4.998368761
3,1,2,20,8.548710187,5.046250314
6,0,3,5,6.722670938,5.07987808
3,1,4,2,7.881933754,4.679288806
5,1,2,2,7.035667894,4.953555274
7,1,1,20,7.937150152,5.112800375
5,0,1,5,6.849711592,5.068119779
4,1,1,1,7.255406313,4.676592316
3,0,3,100,9.858304322,5.066162087
6,1,2,1,6.771370616,4.850979895
4,0,3,50,8.900257005,5.101620629
4,1,2,5,7.513253856,5.031756014
4,0,2,50,8.900257005,5.101620629
5,1,1,1,6.9502351,4.792766697
