Max_spout,Spliters,Counters,Throughput+,Latency-
100,3,2,51763,19.574
1.00E+06,2,8,80544,30348
10000,6,4,43014,743.21
10000,3,16,57894,753.81
100,1,1,45494,22.179
1.00E+05,5,1,28325,1347.7
10000,6,8,48377,453.5
100,6,4,43909,22.236
10000,6,14,47003,494.8
10,4,14,30010,3.389
10000,4,5,44606,876.83
10,5,7,29903,3.374
1000,5,1,30328,339.94
1,2,11,5378.1,1.8613
10,1,11,27273,3.5566
100,6,14,48914,19.031
1000,5,17,59520,172.09
1,1,15,5257.5,1.9272
100,5,3,40247,25.347
1.00E+06,5,2,36078,1020.6
100,1,2,46286,22.103
1.00E+06,3,10,56862,827.55
1,6,3,7680.7,1.3299
1000,6,11,48956,174.12
10000,1,9,64300,1468.8
10000,1,16,65010,1635
1.00E+05,4,18,52242,883.67
100,3,10,54352,18.575
1000,4,4,43890,231.82
100,2,18,55966,16.927
1.00E+05,2,17,83057,10676
100,5,11,53875,18.737
100,3,4,45557,23.217
10,2,9,30945,3.2195
1.00E+05,1,1,45189,20990
1000,5,8,55600,183.07
1000,6,17,44658,195.48
10,4,17,28135,3.5179
10,3,13,29956,3.3254
1000,6,12,48093,174.74
1.00E+05,1,9,67355,14309
10000,3,9,57998,731.92
1.00E+06,5,3,36871,973.83
1.00E+05,3,6,54630,831.75
10,6,11,30909,3.222
100,3,18,54581,18.323
10000,2,8,57685,1722
1,6,6,7767.2,1.3184
1000,4,10,55124,184.06
1.00E+05,3,3,43551,806.48
10000,5,3,36517,981.23
1.00E+05,5,13,53807,840.33
1,4,3,7331.2,1.3902
100,5,15,52117,19.199
1,5,11,6673.1,1.5382
100,6,8,47814,19.547
1,6,16,7150.8,1.4092
1,4,17,6151.7,1.6312
1,4,10,6328.6,1.6178
100,1,10,53349,18.9
1000,6,15,49308,170.22
10000,4,8,46546,851.16
10,2,1,28180,3.5385
100,3,16,54903,18.29
1.00E+06,4,10,54489,824.36
1.00E+05,5,6,45710,848.9
10,5,4,30228,3.3734
1.00E+05,5,4,33910,1023.2
1,1,1,5434.7,1.8632
1,5,9,6683.8,1.5397
100,2,10,54155,18.162
10,5,16,29568,3.4202
10,1,17,27657,3.6694
1,3,10,6839.8,1.5172
1000,3,12,60301,165.5
1.00E+06,6,13,47157,529.31
1000,6,10,45031,177.52
10000,4,17,56387,877.9
10,5,3,28968,3.4356
1.00E+06,1,7,65052,71448
100,4,2,33592,30.38
1.00E+05,6,13,46049,552.56
1,2,18,5351.2,1.8451
1,6,9,7381.6,1.3855
10,6,1,30328,3.3034
1.00E+06,3,17,56236,853.96
1.00E+05,1,13,65445,14273
100,5,8,52163,18.834
1.00E+06,5,10,54691,808.49
100,1,15,54676,16.838
10000,4,4,39796,891.95
100,2,8,47480,21.423
100,4,8,49490,20.154
100,5,7,48844,20.129
10,6,2,34466,2.9167
1.00E+06,4,14,55471,842.9
1,2,6,5546.3,1.8161
100,2,5,47051,22.11
1000,2,15,66965,136.33
1.00E+06,5,16,52914,835.93
1,5,15,6345.6,1.5636
1.00E+05,2,10,64860,14685
1.00E+06,5,13,54479,824.38
1.00E+06,5,14,50915,811.7
1000,5,5,49159,205.99
1,5,14,6400.4,1.5555
1000,6,7,40440,224.07
10,5,17,28762,3.4509
10000,6,12,44764,541.08
1.00E+06,6,16,47353,514.45
1000,2,5,50993,205.93
1.00E+05,4,8,51106,910.94
10,6,4,32233,3.1626
10,3,1,29324,3.3776
1.00E+06,6,2,53945,447.48
100,5,5,45951,22.136
1,4,7,6763.1,1.5126
100,2,2,46785,21.854
10000,5,18,55113,791.62
100,6,18,45666,19.374
1.00E+06,5,18,54890,829.28
10000,4,13,58281,784.23
1,2,7,5594.7,1.8287
1.00E+06,4,15,56222,821.53
100,5,17,53022,18.921
1.00E+06,3,9,58277,775.45
1000,1,1,50502,197.06
1.00E+06,1,14,95094,36603
10,6,8,31859,3.204
1.00E+05,1,8,62165,14336
1000,3,2,60799,166.47
1.00E+06,5,1,28155,1546.7
10000,4,11,54605,791.7
1.00E+06,4,9,51861,857.03
10,4,16,28586,3.4746
1.00E+05,2,14,75299,10531
10000,6,5,43547,681.48
100,1,13,54443,17.328
1.00E+05,6,8,47573,476.85
10000,5,7,51277,825.5
100,5,18,51769,19.344
1.00E+06,1,10,73506,40071
1.00E+05,6,12,44941,539.73
100,5,10,52505,19.357
10,1,3,28894,3.4678
10,4,12,30191,3.3699
1.00E+05,1,14,65736,15405
10,3,11,30027,3.3538
10000,6,7,40972,835.76
1000,5,16,53494,190.48
10,2,12,30864,3.2659
1000,3,11,58614,169.62
100,2,4,45332,21.875
1.00E+05,3,16,59252,868.23
1,4,4,6916.1,1.4471
1.00E+05,5,7,50286,848.09
1000,2,1,41689,239.02
1,4,16,6251.3,1.6295
1,3,14,6560.3,1.5364
1,6,8,7104.5,1.3724
1.00E+05,1,2,56635,16829
1.00E+06,2,6,68913,56665
100,6,5,46010,21.097
1000,6,6,44860,196.18
100,6,11,46910,19.079
1.00E+05,6,16,47476,535.45
1,6,13,7197.3,1.415
1,2,15,5381.5,1.8954
10000,5,6,49070,855.65
10000,5,13,55044,791.56
10,3,3,31820,3.173
10000,3,11,58125,823.45
1,6,17,6858.3,1.4572
1.00E+06,6,3,43784,874.17
100,3,8,53673,18.819
100,5,12,52862,18.754
1.00E+05,2,13,76190,789.55
1000,5,10,54189,184.45
1.00E+06,3,6,55815,784.2
10,1,13,27695,3.5988
1.00E+06,2,11,78731,24278
10,4,18,28001,3.4593
1.00E+06,2,17,91538,37087
10,1,16,27584,3.6382
1000,1,11,64284,143.66
10,4,2,29418,3.5282
1.00E+05,3,9,57433,925.43
1.00E+05,1,4,60895,15073
10,3,15,30182,3.3306
10000,5,17,56302,789.22
1,1,13,5201.2,1.9178
10000,3,18,57586,792.96
1.00E+05,4,1,47322,16401
100,6,16,46773,19.903
1000,4,14,55946,181.57
1.00E+06,2,15,77306,17328
1000,5,9,57228,182.22
100,6,6,46332,21.147
1000,5,14,56967,179.53
1.00E+05,3,18,58816,812.4
1.00E+06,3,11,57489,707.08
1000,6,9,47213,181.57
10,4,15,29159,3.4936
1,1,17,5190.9,1.9543
1.00E+06,2,10,90483,40896
1,4,14,6071.9,1.6306
1.00E+06,6,14,48325,518.26
10,2,13,30675,3.2491
1000,4,3,38038,276.55
1.00E+06,3,4,52085,1052.8
10000,5,15,54627,810.04
100,2,14,55727,18.091
1.00E+06,6,9,45737,488.02
100,3,11,54634,18.193
10000,5,1,26744,1486.5
10,3,5,30710,3.2454
100,4,10,50731,20.16
1.00E+05,4,6,48289,852.67
10000,2,18,77751,1186.4
1,1,4,5646.8,1.8299
10000,1,5,63080,1516
1,5,16,6304.4,1.5942
1,6,10,7591,1.3139
1.00E+05,6,18,47520,601.95
1000,1,18,67460,145.24
1,2,14,5464.8,1.9197
1000,6,2,54774,146.53
1.00E+06,2,14,87119,26320
1,5,3,7040.8,1.446
100,4,5,46977,21.811
1000,2,2,47925,212.72
10,5,5,31592,3.2717
1,1,6,5420.2,1.8391
1000,1,17,64267,155.39
100,6,13,46496,18.653
10000,2,4,52942,1857.9
1.00E+06,2,13,72768,390.52
1,3,15,6513.8,1.5659
10,2,11,30705,3.2506
1,1,11,5300.4,1.9305
1,1,16,5283.2,1.9688
1.00E+05,2,1,36915,25965
1.00E+05,5,18,55594,813.39
1.00E+05,5,15,55162,1249.1
1000,4,13,58388,171.97
1,2,8,5534.4,1.8247
1.00E+06,3,18,57632,871.26
1.00E+06,5,11,53942,888.87
100,4,18,50439,19.912
10000,6,2,53858,425.77
1,2,10,5370.8,1.8457
1.00E+06,6,17,45327,520.84
1.00E+05,6,5,42988,756.13
1,5,10,6437.4,1.5584
1.00E+06,3,16,54812,796.91
100,1,8,51198,20.136
1,6,1,7226.1,1.404
1.00E+06,2,3,61824,83512
10000,4,14,54537,828.62
100,2,16,57972,16.279
1.00E+06,1,18,82514,44566
1000,1,10,58738,157.47
1000,5,18,59279,171.49
1.00E+06,3,14,59461,810.27
10000,3,12,58415,783.82
1000,6,14,51732,161.42
1.00E+05,2,11,76492,11936
1.00E+05,6,4,43977,662.96
1.00E+05,5,8,53160,868.4
1.00E+05,4,12,54068,830.79
10,5,1,29790,3.3747
1.00E+05,2,3,58901,15448
10,2,10,31649,3.1989
100,3,13,55170,18.374
1.00E+06,6,18,47878,531.32
1.00E+06,4,16,56789,873.29
10000,4,3,36455,1007.8
1.00E+05,2,2,47481,17940
10,5,18,28791,3.511
1.00E+05,6,7,38731,827.65
1.00E+06,1,5,69014,48267
1000,2,16,63510,116.06
100,1,12,53898,17.537
1.00E+05,2,4,51258,18328
1.00E+05,1,3,59297,15169
1.00E+06,5,7,49609,887.94
10,5,2,31548,3.1333
10000,2,9,66839,1407.6
1,3,6,7136.5,1.4391
100,1,18,54025,17.415
1,3,18,6296.5,1.6335
1,5,8,7004.2,1.4586
100,2,9,52608,19.265
10,6,6,31394,3.2462
1000,4,8,53299,191.88
1.00E+05,6,1,51230,11450
1.00E+05,3,2,64186,709.56
10000,5,14,56405,820.87
1.00E+06,4,7,55725,803.82
10,5,8,30839,3.3064
10,2,18,30311,3.3197
1,1,7,5377.6,1.8759
1,2,5,5846.6,1.8195
100,1,14,53658,17.361
100,4,1,46605,22.206
