Max_spout,Spliters,Counters,Throughput+,Latency-
100,3,18,19610,59.478
100,3,3,17860,61.224
10,3,18,16158,6.515
10000,6,15,25023,809.05
1,2,1,4097.1,2.6345
10000,1,9,18112,6255.3
10,3,1,7221.4,19.849
1000,6,1,9131.9,1299.1
10,1,1,7494.8,15.267
1,2,9,4212.6,2.4867
10,2,3,13898,7.9557
1.00E+06,3,9,19653,1953.2
1.00E+05,1,1,7445.7,74603
1.00E+06,1,15,39811,83368
1.00E+05,6,9,25620,1057.5
10,6,3,16448,6.6913
10,3,3,14028,8.641
1,6,12,4638.4,2.2965
1,2,18,4229.9,2.4561
1.00E+05,6,15,26714,985.57
1,3,1,4869.9,2.2345
100,6,6,21305,46.838
1,2,3,4213.6,2.4483
1000,2,12,33903,348.49
1,1,12,4032,2.6341
1.00E+05,6,3,19790,2276.2
1.00E+05,1,15,21013,45807
10,3,9,16038,6.8006
1.00E+06,1,1,48918,93904
1.00E+05,2,12,29893,34751
1.00E+05,3,6,17406,2010.2
10,2,9,18656,5.6942
1.00E+05,1,3,17260,57080
1000,6,18,23876,372.5
10,6,1,7599.1,13.874
1000,3,1,8044.5,1305.9
100,1,3,17561,66.278
1,1,15,3983.3,2.585
10,2,18,18872,5.704
1.00E+06,6,18,26278,1019.7
1.00E+05,3,1,9988.9,64176
100,2,6,21809,52.464
100,6,1,8636.8,123.03
100,6,18,23940,35.91
1,3,15,4684.3,2.263
10000,1,6,18745,5990.6
1000,6,12,23951,419.31
1.00E+06,1,12,38675,84330
1,1,18,4100.2,2.6116
10,3,6,16094,6.7821
