Max_spout,Spliters,Counters,Throughput+,Latency-
100,2,1,9506.6,109.87
1.00E+06,1,1,57603,99722
10000,3,15,22331,1447.1
10000,2,3,25630,4190.6
10,6,15,19637,4.6353
1.00E+05,2,18,34687,28743
10000,3,18,21871,1573.4
100,6,1,10467,102.54
10000,6,1,11814,8104.6
10,3,3,16797,6.415
10000,2,9,34739,3308
10,3,12,17287,6.1786
1000,3,3,22331,505.4
1,2,1,4508.5,2.4379
10,1,3,14647,7.5798
100,6,6,24578,38.387
1000,3,15,23466,447.55
1,1,9,4404.4,2.3335
100,3,6,21693,52.732
1.00E+06,6,6,28016,890.11
1.00E+06,1,15,58616,84497
1,6,6,5202.6,1.941
1000,6,3,22884,424.46
1000,6,15,27234,277.65
1000,6,18,27640,300.68
1.00E+05,2,15,34852,27668
100,2,6,28972,44.161
1000,2,12,38846,299.2
100,1,18,23184,47.306
1.00E+05,1,9,20241,48535
100,3,12,21451,50.043
1.00E+06,6,18,28388,887.67
10,1,15,15229,7.2642
10000,6,6,25263,1057.2
1000,3,6,21866,471.82
1000,6,6,27448,277.18
10,3,6,17061,6.2092
10,2,12,21765,4.8266
1.00E+06,2,1,38501,72876
10000,6,12,27995,832.75
10000,2,1,8922.4,11828
1.00E+05,6,6,25775,1066.2
1.00E+05,1,15,21114,46172
10,6,9,19413,5.2046
100,2,12,33320,34.184
10000,1,6,20267,5414.6
1.00E+06,1,18,58326,86354
1000,2,15,38350,294.81
1.00E+05,1,12,22344,43826
10000,3,1,9504.8,11114
