A,B,C,A-,B-
8,7,3,15.10328781,10.52989738
1,15,3,9.909893084,7.430869627
0,1,5,7.098032083,2.858160813
4,4,5,11.41837972,8.441542305
7,35,4,15.56718368,13.49537757
6,15,4,14.17850925,11.03425486
2,7,4,10.07146236,7.804959873
7,7,3,14.22158712,10.17312412
1,64,5,11.25325658,9.618118628
2,8,3,10.23840474,7.899903708
1,14,4,9.818582177,7.226333592
4,1,5,9.592457037,6.564959804
6,8,5,14.31288296,9.170858366
4,8,3,11.97835296,9.557560706
4,15,3,12.35066299,9.859624439
3,22,4,11.91214086,10.02468971
5,25,4,13.84960057,11.60519175
7,14,4,14.95205868,10.59315425
3,36,2,12.04780555,11.65370002
5,1,5,10.45121111,6.804775887
4,22,4,12.84979602,10.55821909
3,7,4,10.75154406,8.522529897
4,8,4,11.80815977,9.696737108
2,16,5,11.08812569,8.690660805
2,22,3,10.88034881,9.129408807
0,16,5,10.39231742,6.757812147
6,35,4,14.76647715,12.44172061
7,15,3,14.85987446,10.75194128
2,15,3,10.58402294,8.346562042
6,14,3,14.08464232,10.91838768
0,8,3,9.154818109,6.035372181
6,8,4,13.44514421,10.34895612
7,35,3,15.48116875,13.65268358
1,4,5,9.038918989,5.849099186
0,25,4,10.26795708,7.757676762
4,32,5,13.76103174,11.00016159
3,15,4,11.47522678,9.330080673
5,36,2,13.7412563,13.30175662
0,36,1,10.65910396,8.8341948
7,15,4,15.06659378,10.79590938
3,36,1,11.77231457,11.47418769
3,14,3,11.30206767,9.014280996
2,64,5,11.99823782,10.37986031
2,25,3,10.99929539,9.72844524
8,4,5,15.16030477,7.802506965
6,19,4,14.33998915,10.79276682
0,36,2,10.76983784,8.765405487
3,19,4,11.70043972,9.61497325
1,36,1,10.09275714,9.736811715
5,35,4,13.8864587,12.99935382
