A,B,C,A-,B-
4,15,3,12.35066299,9.859624439
2,15,4,10.76321237,8.438053168
5,22,4,13.71198954,11.1551998
4,7,4,11.67065625,9.510868147
7,36,2,15.48733762,14.60766939
2,4,5,9.741466986,6.77445112
7,8,4,14.35211241,10.73711949
1,7,3,9.453270634,6.788873143
5,36,2,13.7412563,13.30175662
6,25,4,14.68710225,11.28592421
0,8,3,9.154818109,6.035372181
2,7,3,10.10983065,7.761616662
1,15,3,9.909893084,7.430869627
6,35,4,14.76647715,12.44172061
8,22,3,16.13979114,11.91089241
1,64,5,11.25325658,9.618118628
0,7,4,8.829722735,5.78971557
2,7,4,10.07146236,7.804959873
8,25,3,16.24881706,12.12185067
5,19,3,13.32080055,10.78326081
7,14,4,14.95205868,10.59315425
5,8,5,13.26971112,9.51180174
1,1,5,7.087462841,3.866651431
3,7,4,10.75154406,8.522529897
0,36,2,10.76983784,8.765405487
7,7,3,14.22158712,10.17312412
7,25,4,15.57062658,11.44961151
1,7,4,9.477758266,6.860690304
6,36,2,14.62804676,13.51134515
6,8,5,14.31288296,9.170858366
2,35,4,11.35093918,10.65835576
2,36,1,10.67419227,10.66419664
7,35,3,15.48116875,13.65268358
3,35,4,12.12250448,11.53122277
4,8,4,11.80815977,9.696737108
1,19,3,9.965784285,7.724034654
6,25,3,14.64103567,11.28664203
5,15,3,13.27888499,10.37268453
1,22,4,10.32305476,8.210060462
4,8,3,11.97835296,9.557560706
6,36,1,14.48179943,13.70214888
6,14,4,14.0535017,10.93421264
1,35,3,10.31741261,9.749795131
3,35,3,11.82296909,11.46040144
2,64,5,11.99823782,10.37986031
6,8,4,13.44514421,10.34895612
5,4,5,12.37150441,8.565523889
8,25,4,16.20472396,11.73287415
3,22,4,11.91214086,10.02468971
2,35,3,10.7548875,10.60570099
