Cluster,Spout_wait,Spliters,Counters,Throughput+,Latency-,d2h
0,14.0,4.0,2.33,8668.29,329.12,0.073
1,203.2,2.0,3.2,7047.83,490.12,0.198
2,59.55,4.0,9.45,9040.42,337.06,0.045
3,186.18,1.0,3.09,5822.89,556.05,0.291
4,83.71,3.0,7.39,8134.93,381.36,0.114
5,4.78,1.0,9.11,6786.63,416.49,0.217
6,204.36,6.0,2.91,7529.93,446.39,0.161
7,83.79,5.0,3.5,8320.33,373.85,0.1
8,92.48,6.0,12.08,8233.24,373.48,0.107
9,151.67,5.0,12.95,8257.87,398.44,0.105
10,55.36,2.0,12.27,7744.46,385.56,0.144
11,95.82,1.0,15.73,6712.22,454.0,0.223
12,277.75,3.0,15.0,6913.73,508.08,0.208
13,17.57,3.0,17.29,9628.57,298.01,0.0
14,172.17,4.0,15.5,8150.73,416.72,0.113
15,10000.0,5.0,7.0,351.57,7553.87,1.0
