Cluster,Spout_wait,Spliters,Counters,Throughput+,Latency-,d2h
0,114.68,6.0,5.32,8325.51,382.74,0.045
1,108.5,4.0,13.77,8532.6,369.97,0.027
2,135.08,2.0,7.97,7384.05,434.27,0.123
3,63.5,3.0,12.71,8363.35,359.58,0.041
4,71.74,1.0,9.38,6311.68,475.35,0.211
5,95.77,6.0,15.77,8861.34,348.09,0.002
6,185.55,3.0,3.45,8153.92,428.54,0.059
7,148.14,5.0,12.71,7861.9,418.88,0.083
8,222.4,5.0,9.8,7322.3,453.53,0.128
9,186.33,4.0,1.67,8102.47,422.7,0.063
10,116.67,5.0,5.89,7854.6,402.78,0.084
11,24.6,4.0,6.4,7989.5,347.02,0.072
12,24.4,5.0,1.8,8807.58,326.62,0.004
13,8.33,5.0,15.0,8547.2,335.84,0.026
14,4.67,2.0,17.33,8770.13,338.47,0.008
15,10000.0,3.0,12.0,318.25,8282.2,1.0
