Cluster,Spout_wait,Spliters,Counters,Throughput+,Latency-,d2h
0,16.12,4.0,12.35,9083.85,312.25,0.033
1,75.29,5.0,14.76,8128.23,369.98,0.106
2,70.14,5.0,6.81,8549.89,348.52,0.074
3,5.73,2.0,15.5,8216.64,345.89,0.099
4,11.85,4.0,4.31,9360.15,305.64,0.011
5,7.0,6.0,7.17,8331.93,339.43,0.09
6,96.64,3.0,2.0,8519.23,398.76,0.076
7,68.94,1.0,4.88,6394.18,471.04,0.24
8,135.63,3.0,14.38,8257.01,397.99,0.097
9,115.33,1.0,12.78,6537.76,471.88,0.229
10,170.67,3.0,8.83,7453.18,447.11,0.158
11,339.67,1.0,17.67,4422.47,714.5,0.393
12,110.16,2.0,5.16,7441.6,423.06,0.159
13,5.0,5.0,1.67,9507.63,306.36,0.0
14,130.5,6.0,2.38,8141.35,397.22,0.105
15,144.67,6.0,15.0,8217.38,398.0,0.1
16,129.75,6.0,10.38,7837.3,406.05,0.129
17,146.71,3.0,5.43,7931.67,421.15,0.122
18,10000.0,2.0,14.0,314.51,8564.57,1.0
