Cluster,Spout_wait,Spliters,Counters,Throughput+,Latency-,d2h
0,86.96,3.0,9.13,8712.86,362.15,0.004
1,76.05,5.0,10.4,8761.78,351.75,0.0
2,74.48,1.0,10.08,6073.23,490.84,0.222
3,155.54,6.0,9.47,8122.03,403.55,0.053
4,69.51,2.0,9.04,7743.87,390.34,0.084
5,98.19,4.0,9.79,8314.97,373.88,0.037
6,60000.0,2.0,3.5,202.18,46118.0,0.938
7,60000.0,3.0,2.0,184.61,46594.0,0.943
8,60000.0,1.0,7.0,194.04,40830.0,0.893
9,10000.0,6.0,14.0,401.48,6776.1,0.695
10,10000.0,2.0,7.0,316.79,8453.87,0.705
11,60000.0,2.0,9.0,209.49,52728.33,0.999
