Cluster,Spout_wait,Spliters,Counters,Throughput+,Latency-,d2h
0,144.21,2.0,10.11,7049.44,456.31,0.229
1,3.0,5.0,16.6,10273.52,261.75,0.0
2,9.71,1.0,13.04,6552.51,437.3,0.264
3,133.41,5.0,4.41,7886.34,403.14,0.17
4,90.5,6.0,8.07,8156.09,377.01,0.151
5,73.38,6.0,14.81,8624.94,356.32,0.117
6,12.81,3.0,10.85,8735.58,323.37,0.109
7,16.25,1.0,3.63,6456.0,434.78,0.271
8,7.22,5.0,12.89,8063.31,349.49,0.157
9,17.0,6.0,3.14,9144.27,313.88,0.08
10,14.62,4.0,5.0,9009.82,319.18,0.09
11,10000.0,3.0,9.5,307.26,8214.08,1.0
12,154.21,4.0,12.64,7992.94,408.96,0.162
13,28.75,3.0,1.5,9816.33,311.36,0.033
14,10000.0,5.0,8.0,371.73,7355.47,0.944
