Cluster,Spout_wait,Spliters,Counters,Throughput+,Latency-,d2h
0,120.11,3.0,9.31,8325.69,390.71,0.048
1,97.87,6.0,9.87,8231.32,378.7,0.055
2,93.02,1.0,9.1,6320.66,482.12,0.21
3,59.97,2.0,9.6,7807.01,386.25,0.09
4,107.47,5.0,10.89,8465.66,371.89,0.036
5,68.11,4.0,9.73,8683.54,352.07,0.019
6,10000.0,6.0,2.0,352.1,7618.1,0.701
7,147.0,5.0,1.43,8914.86,383.45,0.0
8,10000.0,2.0,15.0,304.66,8663.47,0.707
9,60000.0,6.0,6.0,375.92,37593.67,0.872
10,10000.0,1.0,4.0,303.52,8583.73,0.707
11,60000.0,3.0,9.0,175.22,41083.67,0.916
12,20.5,1.0,17.33,6800.77,409.37,0.171
13,60000.0,6.0,11.0,270.28,35126.67,0.858
14,60000.0,1.0,2.0,203.5,49875.67,0.998
15,60000.0,2.0,5.0,202.83,44277.0,0.943
16,10000.0,5.0,15.0,360.35,7750.4,0.7
