Cluster,Spout_wait,Spliters,Counters,Throughput+,Latency-,d2h
0,169.0,2.0,3.33,7751.25,445.26,0.168
1,83.43,6.0,15.93,8404.0,360.88,0.121
2,83.15,3.0,3.46,8099.08,385.28,0.143
3,205.8,4.0,12.6,7262.2,459.79,0.204
4,125.72,5.0,4.33,8502.67,381.44,0.113
5,197.75,4.0,5.81,7736.94,441.11,0.169
6,96.58,3.0,16.92,8525.15,361.58,0.112
7,141.36,6.0,5.64,7713.71,417.53,0.171
8,16.4,1.0,12.76,6700.06,422.7,0.245
9,147.89,2.0,16.78,7140.03,448.14,0.213
10,4.0,3.0,12.6,9739.4,294.12,0.023
11,254.25,2.0,12.88,6581.98,510.02,0.254
12,5.63,3.0,9.5,8761.3,317.52,0.094
13,63.36,5.0,13.73,8472.86,353.82,0.115
14,5.4,4.0,1.4,10057.8,286.04,0.0
15,289.29,2.0,7.29,6419.5,537.81,0.266
16,290.86,4.0,17.0,7067.7,499.89,0.218
17,115.67,1.0,2.89,6325.76,486.15,0.272
18,10000.0,4.0,8.0,339.23,8072.57,1.0
