Cluster,Spout_wait,Spliters,Counters,Throughput+,Latency-,d2h
0,110.25,4.0,5.8,8065.79,396.75,0.337
1,4.67,1.0,1.0,5452.3,526.52,0.979
2,83.67,3.0,8.74,8400.21,371.09,0.234
3,20.83,2.0,4.75,8167.75,352.8,0.223
4,96.89,6.0,10.36,8124.89,378.87,0.286
5,139.26,1.0,9.74,5807.24,536.08,0.952
6,9.56,5.0,5.52,8761.23,324.39,0.077
7,169.67,4.0,17.17,8664.58,388.73,0.261
8,6.0,4.0,12.12,9066.52,308.62,0.0
9,4.5,2.0,17.38,8339.25,344.44,0.181
10,96.42,5.0,14.67,8836.74,356.17,0.155
11,255.0,2.0,9.0,6576.75,520.81,0.82
12,3.57,2.0,12.14,8700.21,330.73,0.099
