Cluster,Spout_wait,Spliters,Counters,Throughput+,Latency-,d2h
0,74.23,6.0,9.5,8638.77,348.08,0.006
1,91.22,3.0,9.82,8431.66,371.31,0.024
2,100.28,5.0,8.5,8451.75,374.8,0.022
3,64.26,4.0,9.77,8716.0,347.14,0.0
4,93.49,2.0,9.11,7493.58,412.19,0.102
5,107.39,1.0,9.44,6105.89,503.2,0.217
6,10000.0,6.0,10.5,392.37,6863.32,0.704
7,10000.0,3.0,5.0,332.61,8415.82,0.714
8,60000.0,4.0,6.5,225.9,38197.25,1.0
9,10000.0,1.0,11.0,294.0,8671.87,0.718
10,10000.0,2.0,14.0,314.51,8564.57,0.716
11,60000.0,6.0,4.0,258.97,34749.67,0.954
