Cluster,Spout_wait,Spliters,Counters,Throughput+,Latency-,d2h
0,148.75,1.0,10.39,6075.49,519.43,0.285
1,96.43,5.0,12.83,8244.48,384.91,0.131
2,117.79,4.0,6.38,8452.24,379.62,0.116
3,77.2,2.0,14.33,8176.8,376.6,0.135
4,5.33,6.0,16.33,10076.47,272.78,0.0
5,38.33,3.0,18.0,8140.77,334.24,0.138
6,279.25,6.0,11.88,6626.59,498.59,0.246
7,75.9,3.0,6.65,8434.57,371.48,0.117
8,16.12,2.0,6.5,8293.58,345.4,0.127
9,27.75,5.0,6.0,9228.55,307.57,0.06
10,5.0,5.0,1.83,9286.25,315.17,0.056
11,13.09,2.0,2.64,8054.26,352.76,0.144
12,151.13,6.0,4.13,7513.1,423.98,0.183
13,5.17,4.0,17.17,9837.08,279.55,0.017
14,6.33,3.0,15.0,9288.73,301.47,0.056
15,336.0,3.0,12.33,7968.63,498.61,0.15
16,60000.0,5.0,2.5,195.29,44231.75,0.998
17,10000.0,4.0,16.0,344.15,7563.3,0.704
18,60000.0,3.0,17.0,159.28,40940.0,0.963
