Cluster,Spout_wait,Spliters,Counters,Throughput+,Latency-,d2h
0,91.89,4.0,8.92,8507.8,369.7,0.012
1,130.58,1.0,9.14,6044.96,515.27,0.219
2,126.45,5.0,10.13,8277.36,392.14,0.031
3,132.09,2.0,7.96,7368.33,434.77,0.108
4,131.86,3.0,9.32,8268.5,395.87,0.032
5,106.03,6.0,9.95,8373.93,373.49,0.023
6,60000.0,4.0,14.5,252.26,35197.83,1.0
7,10000.0,5.0,4.5,354.39,7660.92,0.714
8,4.4,2.0,18.0,8645.28,334.02,0.0
9,10000.0,5.0,11.0,348.62,7282.97,0.713
10,10000.0,6.0,3.0,354.28,7719.8,0.714
11,10000.0,6.0,7.0,366.95,7094.93,0.711
