Cluster,Spout_wait,Spliters,Counters,Throughput+,Latency-,d2h
0,161.14,4.0,2.57,7745.03,415.77,0.155
1,127.07,5.0,8.82,8278.03,389.22,0.115
2,88.54,4.0,8.08,8407.29,366.76,0.105
3,20.32,1.0,14.11,6557.87,439.14,0.243
4,140.64,2.0,8.87,7149.15,445.48,0.199
5,5.0,4.0,12.5,9529.3,295.77,0.021
6,10000.0,2.0,13.0,339.63,8373.1,1.0
7,75.24,6.0,10.71,8253.5,363.11,0.117
8,80.69,3.0,14.19,8132.26,374.97,0.126
9,36.33,6.0,1.0,9813.73,297.96,0.0
10,186.55,3.0,5.09,7587.34,457.43,0.167
11,204.2,3.0,1.6,8042.56,439.53,0.133
12,125.4,4.0,16.6,7689.78,408.89,0.159
13,276.75,1.0,3.5,5326.42,607.78,0.336
