Cluster,Max_spout,Spliters,Counters,Throughput+,Latency-,d2h
0,10367.36,3.0,16.45,43863.05,214.63,0.4
1,45789.0,5.0,2.33,32229.84,657.94,0.49
2,11705.5,5.0,11.28,40287.0,293.6,0.43
3,30089.8,3.0,6.48,40989.43,457.79,0.43
4,7830.14,2.0,5.81,43688.15,1092.75,0.4
5,16157.29,2.0,12.86,57814.36,330.3,0.29
6,17072.65,4.0,5.65,38205.79,318.75,0.45
7,34469.0,1.0,17.0,47317.02,5134.23,0.38
8,11639.24,6.0,8.69,33536.56,167.82,0.48
9,16687.0,1.0,5.17,29339.83,2377.85,0.52
10,15801.79,1.0,10.0,35814.64,2265.71,0.47
11,32485.46,4.0,15.15,50043.48,429.15,0.35
12,22202.2,6.0,17.2,34426.46,275.43,0.48
13,25277.5,1.0,1.5,43564.0,5301.66,0.41
14,1000000.0,3.0,3.0,53435.0,869.27,0.33
15,27775.0,2.0,17.0,69983.5,2998.87,0.2
16,367.0,6.0,1.0,34837.7,66.31,0.47
