Cluster,Max_spout,Spliters,Counters,Throughput+,Latency-,d2h
0,14275.95,3.0,10.63,43100.67,384.95,0.4
1,11011.0,5.0,14.92,40819.08,333.96,0.41
2,18117.53,4.0,11.89,43341.88,337.76,0.39
3,28763.87,5.0,7.75,42871.3,524.14,0.4
4,13777.59,1.0,9.73,38544.98,2149.49,0.43
5,13901.5,3.0,17.0,40392.84,236.61,0.42
6,31953.65,6.0,4.94,39815.26,392.29,0.42
7,20505.33,2.0,6.33,45444.56,2918.96,0.38
8,16868.5,4.0,2.33,31901.2,250.79,0.49
9,1000000.0,2.0,4.0,60092.0,76313.67,0.63
10,16852.0,6.0,12.33,31232.83,125.56,0.49
11,11321.2,3.0,2.3,39308.68,324.53,0.43
12,20022.4,6.0,16.6,26259.42,135.96,0.53
13,36516.57,2.0,15.86,54141.33,3253.26,0.31
14,3667.0,4.0,5.33,33312.67,365.06,0.48
15,17301.57,5.0,2.71,30445.11,542.59,0.5
16,1000000.0,5.0,4.5,40770.5,912.77,0.42
17,1000000.0,6.0,4.0,43875.67,741.37,0.39
