Cluster,Max_spout,Spliters,Counters,Throughput+,Latency-,d2h
0,35002.0,4.0,17.33,34585.97,443.97,0.48
1,20193.73,1.0,7.91,46960.51,3121.37,0.38
2,1000000.0,3.0,13.0,58816.33,805.58,0.28
3,15718.86,1.0,2.14,27819.81,3287.48,0.53
4,17814.52,5.0,12.16,42881.28,315.46,0.41
5,17444.29,6.0,17.0,44353.29,279.01,0.4
6,18074.5,5.0,3.22,35286.11,356.51,0.47
7,31131.1,4.0,9.8,45793.58,343.87,0.39
8,17863.23,1.0,15.77,48194.35,2645.11,0.37
9,19487.29,3.0,12.61,45920.12,293.85,0.39
10,8288.8,3.0,3.93,41014.12,214.75,0.42
11,26101.0,2.0,16.25,54776.22,1929.01,0.32
12,22220.2,4.0,1.4,34657.34,3548.76,0.48
13,28217.5,6.0,6.93,39171.8,629.1,0.44
14,1000000.0,1.0,5.5,66025.75,64186.0,0.58
15,13963.5,2.0,5.56,41671.61,2338.14,0.42
16,33370.0,5.0,18.0,45384.67,278.75,0.39
17,1000000.0,5.0,12.5,53502.25,840.96,0.33
