Cluster,Max_spout,Spliters,Counters,Throughput+,Latency-,d2h
0,16195.18,5.0,9.87,38102.91,273.76,0.45
1,14662.0,4.0,9.4,40258.17,521.0,0.43
2,16774.41,1.0,9.81,44793.57,2488.8,0.4
3,18428.37,2.0,9.15,47794.55,2488.44,0.37
4,19631.85,6.0,9.38,36043.53,365.59,0.46
5,15267.84,3.0,9.29,42434.6,460.98,0.41
6,1000000.0,3.0,12.0,58431.14,798.25,0.29
7,1000000.0,1.0,13.0,87425.33,44295.0,0.35
8,1000000.0,5.0,15.0,53888.8,856.86,0.32
9,1000000.0,2.0,14.5,76735.5,11087.04,0.17
10,1000000.0,3.0,3.5,56435.83,5791.85,0.31
11,1000000.0,5.0,4.0,40068.33,929.34,0.43
12,1000000.0,4.0,2.0,47596.67,9844.88,0.38
13,1000000.0,6.0,11.0,46342.14,522.38,0.38
14,1000000.0,1.0,17.0,77105.0,53497.33,0.44
15,1000000.0,4.0,8.0,52368.33,840.29,0.34
16,1000000.0,4.0,14.0,55411.0,818.94,0.31
