Cluster,Max_spout,Spliters,Counters,Throughput+,Latency-,d2h
0,14461.43,3.0,2.86,41932.0,146.51,0.42
1,13487.4,6.0,9.56,37576.22,203.01,0.45
2,13672.53,3.0,12.18,43368.11,266.26,0.41
3,28292.09,1.0,2.73,37588.79,4968.94,0.45
4,37000.0,5.0,1.0,28465.67,1058.05,0.52
5,7013.89,4.0,14.37,36369.92,207.49,0.46
6,2468.0,4.0,3.56,32284.92,259.52,0.49
7,16144.43,5.0,10.64,41914.29,309.43,0.42
8,14661.18,2.0,9.82,38671.26,1366.07,0.44
9,30158.71,1.0,9.86,49146.63,4325.98,0.36
10,1347.0,1.0,16.33,35820.62,218.4,0.47
11,1000000.0,5.0,2.0,33701.33,1180.38,0.48
12,1000000.0,3.0,10.0,57542.67,770.03,0.3
13,3367.0,2.0,18.0,46356.07,401.72,0.38
14,36700.0,3.0,18.0,56994.33,541.23,0.3
15,27525.25,4.0,7.75,38476.28,445.94,0.45
16,20422.0,2.0,1.4,40298.8,5288.43,0.43
17,40022.2,1.0,13.2,43704.04,5940.17,0.41
18,1000000.0,2.0,14.0,79064.33,14679.51,0.19
