Cluster,Max_spout,Spliters,Counters,Throughput+,Latency-,d2h
0,8828.67,5.0,7.63,35962.54,246.1,0.45
1,12666.65,3.0,5.71,40423.55,225.88,0.42
2,23947.23,6.0,2.92,33140.98,217.7,0.48
3,2238.68,1.0,13.68,40704.1,342.62,0.42
4,3670.0,6.0,13.0,41964.0,231.74,0.41
5,14695.68,2.0,11.19,46024.96,1428.76,0.37
6,17170.23,6.0,8.92,34873.81,253.74,0.46
7,1744.43,4.0,3.43,34574.03,207.93,0.47
8,23150.93,3.0,14.43,45008.44,344.85,0.38
9,13901.5,2.0,2.0,35235.04,2223.02,0.46
10,26420.5,4.0,13.03,45550.02,455.5,0.38
11,27750.25,5.0,18.0,44069.8,444.53,0.39
12,11021.09,1.0,4.45,40480.13,1678.24,0.42
13,1000000.0,6.0,6.0,42093.0,739.62,0.4
14,32486.15,6.0,16.54,43620.31,293.54,0.39
15,1000000.0,5.0,2.0,33701.33,1180.38,0.47
