Cluster,Max_spout,Spliters,Counters,Throughput+,Latency-,d2h
0,14458.91,2.0,4.48,36748.33,2840.91,0.45
1,16340.15,3.0,6.23,41879.83,243.87,0.41
2,15009.73,5.0,9.23,37660.08,259.1,0.45
3,17859.77,1.0,10.92,47085.39,2626.07,0.37
4,12217.15,6.0,9.17,38119.89,479.97,0.44
5,13810.82,4.0,10.39,37964.3,306.04,0.44
6,75025.0,2.0,10.0,66626.0,9547.04,0.23
7,22220.2,3.0,16.6,47576.9,363.57,0.37
8,15874.43,1.0,2.29,40243.41,2439.94,0.43
9,30242.93,2.0,15.5,63823.69,2575.0,0.24
10,1757.29,3.0,12.57,49709.96,170.28,0.35
11,1000000.0,1.0,2.5,62180.0,85786.25,0.71
12,1000000.0,5.0,12.0,54364.67,850.71,0.31
13,1000000.0,1.0,11.0,84095.33,40585.67,0.32
