Cluster,Max_spout,Spliters,Counters,Throughput+,Latency-,d2h
0,19091.86,1.0,8.38,45576.99,2743.18,0.38
1,12311.2,6.0,7.0,35365.11,244.6,0.46
2,20902.12,2.0,11.65,47747.6,2443.71,0.36
3,14870.12,3.0,9.78,46029.72,305.51,0.37
4,16358.29,5.0,13.0,42650.28,301.94,0.4
5,22898.41,4.0,7.97,34710.18,289.03,0.47
6,6681.25,5.0,3.75,30713.41,237.77,0.5
7,31444.43,1.0,17.0,48775.41,4833.77,0.35
8,18601.0,2.0,4.17,43210.29,2861.04,0.4
9,2530.0,6.0,17.75,38262.25,154.39,0.44
10,20002.0,6.0,12.17,30204.17,268.28,0.5
11,1000000.0,2.0,14.0,79064.33,14679.51,0.15
12,52.75,6.0,3.25,32361.92,12.23,0.48
13,337.0,6.0,1.0,29590.03,60.33,0.51
