Cluster,Max_spout,Spliters,Counters,Throughput+,Latency-,d2h
0,20253.65,5.0,14.71,47643.34,408.62,0.37
1,1000000.0,4.0,11.5,54287.0,834.3,0.31
2,23327.58,2.0,3.79,39762.47,4170.57,0.43
3,24663.93,1.0,9.5,46883.85,3679.32,0.37
4,8815.21,2.0,11.14,47585.44,300.1,0.37
5,30294.36,6.0,15.71,41357.72,289.75,0.42
6,9293.91,4.0,13.27,34416.92,113.6,0.47
7,1616.5,3.0,3.0,43432.81,153.06,0.4
8,21328.58,3.0,13.31,47125.61,333.24,0.37
9,31122.1,4.0,3.1,35099.12,531.02,0.47
10,12469.0,5.0,8.0,42817.02,228.34,0.41
11,4202.2,4.0,7.4,38989.62,354.09,0.44
12,32202.1,5.0,2.5,30748.28,643.64,0.5
13,9511.75,6.0,3.08,38260.86,1079.53,0.44
14,1000000.0,2.0,5.0,62455.0,67364.67,0.61
15,1000000.0,6.0,13.0,47098.67,520.58,0.37
16,2915.71,6.0,9.0,43498.14,144.29,0.4
