Cluster,Max_spout,Spliters,Counters,Throughput+,Latency-,d2h
0,16504.49,2.0,9.21,43749.39,1896.17,0.4
1,19786.58,4.0,9.69,39768.69,548.39,0.43
2,21244.49,5.0,9.67,40076.21,367.7,0.43
3,20449.47,3.0,9.62,43858.28,541.11,0.4
4,1000000.0,4.0,7.5,50056.67,851.77,0.35
5,21211.62,6.0,9.62,38677.28,428.85,0.44
6,14612.37,1.0,9.65,43635.27,2210.28,0.4
7,1000000.0,6.0,8.5,44961.92,616.97,0.39
8,1000000.0,2.0,5.0,64237.2,62715.0,0.53
9,1000000.0,5.0,8.5,53103.5,864.41,0.33
10,1000000.0,3.0,11.5,57232.2,800.55,0.3
11,1000000.0,1.0,12.5,85745.0,42341.67,0.33
12,1000000.0,5.0,13.0,53355.67,824.99,0.33
13,1000000.0,2.0,10.5,82328.0,26557.75,0.22
14,1000000.0,1.0,4.0,64925.0,71381.0,0.58
