Cluster,Max_spout,Spliters,Counters,Throughput+,Latency-,d2h
0,20853.88,2.0,9.53,46576.47,2378.81,0.38
1,18412.78,1.0,10.22,45266.2,2784.4,0.39
2,16499.56,6.0,9.85,36890.09,340.14,0.46
3,20329.51,3.0,9.46,42161.81,528.6,0.42
4,13776.64,4.0,9.64,37558.43,509.54,0.45
5,17317.7,5.0,9.87,37145.56,311.81,0.46
6,1000000.0,3.0,15.5,57713.0,824.4,0.29
7,1000000.0,6.0,2.5,49621.75,2001.77,0.36
8,1000000.0,5.0,6.0,45769.4,892.12,0.39
9,1000000.0,2.0,4.5,62297.25,71401.5,0.61
10,1000000.0,1.0,8.5,73692.75,45468.5,0.39
11,1000000.0,2.0,16.0,79531.0,18241.55,0.19
12,1000000.0,3.0,9.0,57752.0,805.27,0.29
13,1000000.0,6.0,15.5,47812.25,519.04,0.37
14,1000000.0,1.0,13.0,87425.33,44295.0,0.35
15,1000000.0,1.0,2.0,61993.33,86485.33,0.72
16,1000000.0,6.0,11.0,45643.67,523.03,0.39
17,1000000.0,3.0,5.0,52708.0,891.7,0.33
