Cluster,Max_spout,Spliters,Counters,Throughput+,Latency-,d2h
0,15450.59,6.0,9.61,36422.23,371.66,0.46
1,17914.65,1.0,8.75,45739.21,2789.22,0.39
2,19427.56,3.0,9.64,44110.07,524.98,0.4
3,23422.38,2.0,9.48,44720.12,2862.87,0.4
4,23900.43,4.0,9.9,41727.56,591.84,0.42
5,18267.38,5.0,9.83,39359.43,317.63,0.44
6,1000000.0,4.0,10.5,53715.5,837.62,0.32
7,1000000.0,6.0,11.5,46022.0,524.6,0.39
8,1000000.0,1.0,14.5,83121.75,48211.25,0.38
9,1000000.0,2.0,17.0,81042.33,16214.22,0.17
10,1000000.0,1.0,3.5,64171.83,74125.33,0.62
11,1000000.0,6.0,3.5,47483.67,1553.52,0.37
12,1000000.0,3.0,15.5,57713.0,824.4,0.29
13,1000000.0,2.0,8.0,76341.29,40802.0,0.35
14,1000000.0,5.0,16.0,53971.0,857.84,0.32
15,1000000.0,3.0,8.5,55907.75,805.97,0.31
