Cluster,Max_spout,Spliters,Counters,Throughput+,Latency-,d2h
0,19384.08,5.0,9.15,39133.89,350.65,0.44
1,1000000.0,4.0,11.5,54080.0,839.52,0.32
2,18371.9,4.0,9.07,38157.54,314.14,0.44
3,20568.04,2.0,9.31,47442.2,2714.16,0.37
4,20034.46,1.0,9.58,47694.77,2960.69,0.37
5,21622.8,6.0,9.44,39197.72,416.22,0.43
6,17619.4,3.0,9.44,43881.19,505.27,0.4
7,1000000.0,2.0,5.0,62455.0,67364.67,0.56
8,1000000.0,1.0,2.5,62180.0,85786.25,0.69
9,1000000.0,5.0,10.0,52144.44,853.84,0.33
10,1000000.0,1.0,16.5,79113.75,50176.25,0.39
11,1000000.0,6.0,12.5,46647.5,516.74,0.38
12,1000000.0,3.0,12.5,58484.5,780.96,0.28
13,1000000.0,4.0,4.0,39724.6,967.3,0.43
14,1000000.0,1.0,12.0,86910.0,45721.0,0.35
15,1000000.0,6.0,2.0,51134.0,2451.05,0.34
