Cluster,Max_spout,Spliters,Counters,Throughput+,Latency-,d2h
0,18781.25,4.0,9.26,40759.49,577.13,0.43
1,21072.51,3.0,9.54,42879.49,350.74,0.41
2,20159.23,5.0,9.79,38007.51,352.73,0.45
3,17851.16,2.0,9.62,49948.78,2009.63,0.35
4,17550.36,1.0,9.39,42137.73,2687.05,0.42
5,18868.72,6.0,9.43,36413.22,223.7,0.46
6,1000000.0,3.0,8.5,55907.75,805.97,0.31
7,1000000.0,2.0,5.5,64840.5,57515.75,0.49
8,1000000.0,3.0,2.5,58144.0,8282.2,0.3
9,1000000.0,6.0,12.0,46913.43,518.18,0.38
10,1000000.0,2.0,12.5,80985.83,21102.25,0.19
11,1000000.0,3.0,17.0,56226.67,840.71,0.31
12,1000000.0,5.0,10.0,54573.33,854.39,0.32
13,1000000.0,6.0,2.5,49621.75,2001.77,0.36
14,1000000.0,4.0,7.0,50736.67,839.15,0.35
