Cluster,Max_spout,Spliters,Counters,Throughput+,Latency-,d2h
0,17269.75,6.0,9.07,37678.79,389.58,0.44
1,20144.88,5.0,10.06,39634.53,365.03,0.42
2,19577.7,3.0,9.01,41623.29,542.79,0.41
3,1000000.0,2.0,9.0,71962.18,41877.89,0.35
4,17992.37,4.0,9.51,39135.03,509.08,0.43
5,15574.89,2.0,9.23,45599.33,1987.26,0.38
6,13478.76,1.0,9.33,44409.48,2054.14,0.39
7,1000000.0,3.0,6.0,52138.0,810.12,0.32
8,1000000.0,6.0,16.0,47641.33,519.3,0.36
9,1000000.0,1.0,2.5,62180.0,85786.25,0.68
10,1000000.0,3.0,2.0,60163.67,10692.0,0.27
11,1000000.0,6.0,7.0,43255.33,691.61,0.39
12,1000000.0,1.0,17.0,77105.0,53497.33,0.42
