Cluster,Max_spout,Spliters,Counters,Throughput+,Latency-,d2h
0,337.0,2.0,17.0,34728.67,44.33,0.47
1,10115.43,4.0,4.87,33504.41,222.05,0.48
2,18526.0,6.0,7.5,37442.17,245.44,0.45
3,35690.0,4.0,13.33,51867.22,496.05,0.33
4,21729.57,2.0,8.05,53931.74,2934.59,0.32
5,24200.2,6.0,1.8,41310.66,2591.49,0.42
6,13529.5,6.0,14.61,41752.43,209.09,0.41
7,18449.43,5.0,13.35,36888.19,251.96,0.45
8,40.0,3.0,4.67,36943.67,9.11,0.45
9,30093.79,1.0,14.64,46672.21,4465.4,0.38
10,20930.09,5.0,4.18,36356.51,411.04,0.46
11,13530.0,1.0,6.72,50664.72,1914.92,0.34
12,30030.14,2.0,14.71,53468.93,1698.5,0.32
13,1000000.0,5.0,13.0,53725.6,865.91,0.32
14,14026.37,4.0,17.0,46675.59,269.93,0.37
15,2224.0,2.0,1.6,39727.8,462.23,0.43
16,13913.88,3.0,16.62,46765.28,222.85,0.37
17,1000000.0,3.0,2.0,60163.67,10692.0,0.28
18,40240.0,3.0,7.0,50004.4,381.0,0.35
19,42200.2,3.0,12.0,47936.5,507.66,0.36
20,1000000.0,4.0,17.0,56006.33,945.92,0.3
21,1000000.0,4.0,13.0,54548.33,852.06,0.31
22,1000000.0,1.0,16.5,79113.75,50176.25,0.43
23,66667.0,1.0,1.33,35752.9,12606.95,0.47
