Cluster,Max_spout,Spliters,Counters,Throughput+,Latency-,d2h
0,25915.86,2.0,11.43,51805.04,2787.28,0.34
1,20145.81,4.0,8.0,38469.9,288.3,0.45
2,30158.71,4.0,1.71,33039.51,2714.72,0.49
3,16658.07,5.0,4.14,33517.52,383.71,0.48
4,22843.62,3.0,9.9,41936.86,363.33,0.42
5,14401.37,6.0,12.42,39290.33,209.31,0.44
6,17342.2,1.0,11.24,42380.34,2636.63,0.42
7,13255.58,5.0,13.04,41615.94,256.4,0.42
8,18631.69,2.0,3.77,42940.22,2889.34,0.41
9,24579.0,6.0,2.0,41564.68,1546.62,0.42
10,20402.2,1.0,1.6,38795.78,3444.51,0.44
11,1000000.0,6.0,8.5,44417.25,623.63,0.4
12,11193.73,4.0,15.91,44085.93,284.51,0.4
13,1000000.0,6.0,4.0,43875.67,741.37,0.4
14,1000000.0,5.0,13.0,53355.67,824.99,0.33
