Cluster,Max_spout,Spliters,Counters,Throughput+,Latency-,d2h
0,15962.64,2.0,8.91,42208.46,2579.82,0.4
1,12109.27,6.0,15.36,39892.33,239.68,0.42
2,25094.5,4.0,5.08,30323.62,254.59,0.5
3,2111.91,1.0,3.45,42754.59,348.92,0.4
4,11258.0,4.0,15.56,37965.36,123.31,0.44
5,16851.25,6.0,3.83,28887.64,136.88,0.51
6,16750.0,5.0,10.63,38044.75,323.83,0.44
7,17914.0,1.0,13.83,45809.38,2636.42,0.38
8,1000000.0,3.0,10.0,57907.4,795.26,0.28
9,1000000.0,6.0,7.0,43255.33,691.61,0.4
10,15026.66,3.0,11.03,44106.31,248.69,0.39
11,11110.27,6.0,9.36,34569.09,174.32,0.47
12,50252.5,2.0,17.75,64265.5,5668.32,0.23
13,66700.0,5.0,1.33,31339.0,802.6,0.49
14,1000000.0,1.0,16.0,77980.33,52046.33,0.4
