Cluster,Max_spout,Spliters,Counters,Throughput+,Latency-,d2h
0,9946.47,1.0,9.05,44786.5,1585.56,0.38
1,14719.0,6.0,11.96,33268.17,215.4,0.48
2,22112.2,6.0,2.8,36472.4,1450.83,0.45
3,9574.43,3.0,15.5,42866.51,274.39,0.4
4,15757.75,5.0,5.31,33231.16,422.69,0.48
5,8490.12,4.0,8.65,42877.05,280.56,0.4
6,16766.2,3.0,5.8,40763.45,1026.97,0.42
7,15421.6,2.0,9.13,42422.21,2097.38,0.4
8,6445.0,5.0,13.81,38447.78,199.69,0.43
9,2202.4,4.0,1.8,22218.86,285.86,0.57
10,16388.87,2.0,15.37,57914.5,1626.68,0.28
11,23102.2,4.0,16.3,40011.9,439.28,0.42
12,30016.0,2.0,2.57,34949.71,5121.6,0.46
13,1000000.0,2.0,16.0,79531.0,18241.55,0.17
