Cluster,Max_spout,Spliters,Counters,Throughput+,Latency-,d2h
0,18563.12,4.0,7.17,39333.99,322.74,0.44
1,11196.05,2.0,6.0,37954.39,1692.56,0.45
2,12296.42,1.0,11.11,48441.95,1782.62,0.37
3,15744.57,5.0,4.43,31414.34,244.54,0.5
4,13848.71,6.0,10.1,35768.77,203.96,0.47
5,24359.85,5.0,13.54,38740.67,313.72,0.44
6,28543.32,3.0,14.16,46199.98,407.75,0.38
7,29201.91,4.0,16.36,46004.93,417.24,0.39
8,27525.25,2.0,13.25,52601.7,298.74,0.33
9,22022.2,1.0,1.6,39012.34,3707.8,0.44
10,1000000.0,1.0,15.0,83512.33,45789.33,0.37
11,51670.0,2.0,16.5,62298.83,3785.11,0.26
12,42202.0,4.0,1.2,43502.0,3894.12,0.41
13,3337.0,5.0,1.0,21508.2,497.06,0.58
14,13311.1,3.0,6.7,46750.83,376.57,0.38
15,1000000.0,4.0,4.0,40050.0,924.26,0.43
16,1000000.0,6.0,6.0,42093.0,739.62,0.42
17,1000000.0,2.0,16.0,79531.0,18241.55,0.19
18,1000000.0,6.0,2.0,51134.0,2451.05,0.35
