Cluster,Extrema,EnabledOptimizations,DisabledOptimizations,Ls,Dcr,Cf,Lir,Inl,Lur,Wlur,Prfunr,Lus,Cse,Dfr,Wlt,Wlf,Awlf,Ivecyc,Ive,Ivesli,Wlflt,Ae,Dl,Rco,Uip,Dr,Ipc,Wlpg,Cp,Vp,Srf,Phm,Dpa,Msca,Wls,As,Wlsimp,Cwle,Lro,Lao,Pra,Rnb,Rip,Sde,Wlprop,Saa,Cyc,Scyc,Saacyc,Wlsd,Cts,Ucts,Maxoptcyc,Maxlur,Maxwlur,Maxprfur,Maxae,Initmheap,Initwheap,Compile-exit-,Compile-real-,d2h
0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.29,5.43,10.0,8.71,7.14,7899.43,374.86,0.0,0.8,0.0
1,0.0,1.0,1.0,0.0,0.0,0.03,0.03,0.05,0.03,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.03,0.0,0.0,0.0,1.0,0.0,0.0,0.15,0.0,0.0,0.03,0.0,0.03,0.03,0.05,0.0,0.0,0.0,0.0,0.03,0.1,0.0,12.26,5.62,9.77,10.85,5.72,8927.18,447.18,0.0,1.7,0.02
2,0.01,1.0,1.0,0.01,0.08,0.0,0.0,0.02,0.03,0.01,0.01,0.01,0.06,0.03,0.01,0.22,0.01,0.02,0.02,0.13,0.13,0.03,0.01,0.03,0.01,0.01,0.0,0.02,0.04,0.03,0.03,0.0,0.21,0.01,0.05,0.0,0.02,0.01,0.01,0.25,0.03,0.01,0.02,0.01,0.02,0.02,0.01,0.0,0.01,0.02,0.03,0.06,10.82,7.24,6.47,10.13,7.55,6861.68,522.53,0.57,1.46,0.01
3,0.0,1.0,1.0,0.0,0.14,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,10.0,10.0,7.0,1.0,9.0,3072.0,512.0,0.0,2.57,0.03
4,0.02,1.0,1.0,0.0,0.0,0.02,0.0,0.79,0.05,0.02,0.02,0.0,0.0,0.0,0.05,0.0,0.02,0.0,0.0,0.05,0.0,0.0,0.02,0.0,0.02,0.02,0.02,0.02,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.12,0.0,0.37,0.0,0.0,0.02,0.0,0.02,0.02,0.0,0.0,0.02,0.0,3.72,6.93,8.6,14.47,6.28,5239.07,474.79,0.0,1.01,0.01
5,0.0,1.0,1.0,0.0,0.03,0.0,0.06,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.12,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.15,0.0,0.03,0.0,0.0,0.03,0.03,0.0,0.06,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.45,4.45,9.48,11.58,7.85,7974.79,390.79,4.06,1.08,0.02
6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.11,9.33,5.67,8.67,4.89,10240.0,103.11,0.0,0.84,0.01
7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.07,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.13,0.0,0.0,0.07,0.0,0.0,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0,15.47,9.4,6.8,11.4,2.07,6348.8,224.0,0.0,0.84,0.01
8,0.0,1.0,1.0,0.04,0.0,0.04,0.04,0.0,0.04,0.0,0.0,0.04,0.0,0.0,1.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.17,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.04,0.04,0.0,0.0,0.0,8.75,3.42,12.5,8.25,2.46,9557.33,668.0,0.0,0.87,0.01
9,0.0,1.0,1.0,0.0,0.0,0.07,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.43,0.0,0.03,0.0,0.03,0.0,0.0,0.17,0.0,0.0,8.2,7.27,9.43,13.23,5.93,3072.0,588.8,0.0,0.9,0.01
