Cluster,No_mbtree,No_asm,No_cabac,No_scenecut,Aq_strength,Bframes,Qcomp,Qp,Ref,Rc_lookahead,B_bias,Threads,Keyint,Crf,Scenecut,Seek,Ipratio,PSNR-,Energy-,d2h
0,0.0,0.0,1.0,0.0,1.05,12.86,0.61,24.93,4.67,124.86,1.91,64.74,488.12,30.38,50.61,618.06,1.03,43.53,997.52,0.2
1,1.0,0.0,0.0,0.0,1.09,13.17,0.59,25.34,4.62,126.5,2.2,64.92,511.38,29.87,49.8,639.23,1.06,46.83,992.99,0.23
2,0.0,0.0,0.0,1.0,1.01,12.8,0.59,25.77,4.36,127.37,0.59,64.97,495.4,30.5,51.06,608.29,1.03,43.31,1017.12,0.2
3,0.0,0.0,0.0,0.0,1.04,13.09,0.6,24.34,4.4,129.04,2.72,64.87,490.87,29.93,50.81,626.74,1.02,44.13,993.88,0.21
4,0.0,1.0,0.0,0.0,1.04,12.79,0.6,25.79,4.67,122.58,0.36,64.95,524.2,29.44,51.6,624.31,1.05,44.26,3166.14,0.26
5,0.0,0.0,1.0,0.0,1.04,3.24,0.55,26.12,3.0,40.82,14.18,4.82,278.82,26.94,42.24,0.0,1.39,43.96,1934.67,0.22
6,0.0,0.0,1.0,1.0,1.0,2.33,0.63,19.17,2.5,33.5,0.0,4.0,208.5,23.0,40.0,0.0,1.27,44.2,1940.53,0.23
7,0.0,0.0,0.0,1.0,0.82,3.0,0.47,16.77,3.08,40.08,0.08,4.0,222.46,25.65,38.69,0.0,1.4,43.23,1860.05,0.22
8,1.0,0.0,0.0,0.0,1.01,3.21,0.6,18.21,3.0,37.36,29.43,4.29,252.21,26.99,43.14,0.0,1.26,45.2,2045.56,0.24
9,0.0,0.0,0.0,0.0,0.98,3.29,0.55,21.14,2.71,32.52,7.62,4.95,259.62,26.05,43.38,0.0,1.54,44.74,1789.51,0.23
10,0.0,1.0,0.0,0.0,1.14,3.2,0.68,22.13,3.2,38.33,-4.6,4.67,282.67,26.53,39.93,0.0,1.35,44.04,7064.02,0.41
11,1.0,1.0,0.0,0.0,1.2,3.0,0.36,23.0,3.0,32.2,0.0,4.0,200.2,23.0,24.4,0.0,1.36,47.13,7936.82,0.46
