Cluster,No_mbtree,No_asm,No_cabac,No_scenecut,Aq_strength,Bframes,Qcomp,Qp,Ref,Rc_lookahead,B_bias,Threads,Keyint,Crf,Scenecut,Seek,Ipratio,PSNR-,Energy-,d2h
0,0.0,0.0,0.0,1.0,1.05,12.65,0.6,25.86,4.53,127.94,-0.98,64.34,493.22,29.71,50.43,618.84,1.07,44.02,1020.96,0.3
1,1.0,0.0,0.0,0.0,1.07,12.77,0.62,25.42,4.38,124.33,0.64,64.07,521.46,30.01,51.14,646.87,1.04,46.81,934.4,0.34
2,0.0,0.0,0.0,0.0,1.06,12.99,0.6,26.36,4.59,127.24,1.33,64.95,498.86,30.39,50.14,642.57,1.03,43.82,969.52,0.3
3,0.0,1.0,0.0,0.0,1.04,12.64,0.61,26.01,4.4,127.25,-0.38,66.29,486.2,30.05,50.14,627.35,1.1,43.91,3085.4,0.33
4,0.0,0.0,1.0,0.0,1.04,12.78,0.6,25.69,4.55,129.64,1.67,63.68,481.73,30.27,49.94,621.12,1.05,43.69,973.74,0.29
5,0.0,0.0,0.0,1.0,0.99,3.39,0.63,26.22,3.17,40.39,-7.83,4.67,253.44,25.42,42.72,0.0,1.46,45.39,1961.29,0.33
6,0.0,1.0,0.0,0.0,1.04,2.88,0.56,21.94,2.25,29.0,9.75,4.0,243.19,24.34,36.5,0.0,1.22,42.81,6367.42,0.43
7,0.0,0.0,1.0,0.0,1.18,3.08,0.62,24.42,3.25,35.17,25.17,4.67,252.58,20.98,40.42,0.0,1.24,46.76,2346.56,0.36
8,1.0,0.0,0.0,0.0,0.98,3.38,0.62,20.69,3.0,37.23,0.23,4.92,244.0,30.94,45.08,0.0,1.1,42.3,1833.95,0.29
9,0.0,0.0,0.0,0.0,1.18,3.36,0.61,22.28,3.08,37.44,11.56,4.88,276.44,25.52,44.16,0.0,1.38,45.09,2049.7,0.33
