Cluster,No_mbtree,No_asm,No_cabac,No_scenecut,Aq_strength,Bframes,Qcomp,Qp,Ref,Rc_lookahead,B_bias,Threads,Keyint,Crf,Scenecut,Seek,Ipratio,PSNR-,Energy-,d2h
0,0.0,0.0,0.0,0.0,1.06,13.26,0.57,25.65,4.44,124.77,1.04,65.04,508.12,30.01,50.86,632.09,1.03,43.96,981.16,0.21
1,0.0,0.0,1.0,0.0,1.03,13.09,0.59,25.91,4.57,125.39,-2.0,64.1,519.01,30.32,51.94,611.47,1.01,43.49,1007.45,0.2
2,0.0,0.0,1.0,0.0,0.99,2.95,0.64,23.71,2.71,39.24,-18.95,3.81,192.19,21.23,40.24,0.0,1.33,46.81,1967.17,0.25
3,0.0,0.0,0.0,1.0,1.03,12.67,0.6,26.32,4.65,122.19,2.84,64.17,504.04,29.52,50.43,629.97,1.07,44.16,996.9,0.21
4,1.0,0.0,0.0,0.0,1.04,13.06,0.6,25.39,4.62,124.1,0.62,65.25,510.44,29.59,50.82,615.56,1.05,46.75,1021.46,0.23
5,0.0,0.0,0.0,1.0,1.01,3.05,0.68,24.4,2.85,41.2,7.4,4.6,258.55,23.51,41.35,0.0,1.48,46.75,2180.82,0.25
6,0.0,1.0,0.0,0.0,1.08,13.06,0.59,24.74,4.61,126.74,-1.05,63.86,492.7,30.55,51.7,634.21,1.05,43.54,2986.56,0.25
7,0.0,1.0,0.0,0.0,0.81,2.79,0.64,23.93,2.93,37.86,16.36,4.14,265.0,27.65,36.79,0.0,1.37,43.55,6862.59,0.41
8,1.0,0.0,0.0,0.0,0.97,3.13,0.6,21.8,2.9,37.57,2.0,4.53,240.13,25.6,39.77,0.0,1.31,45.82,2065.82,0.24
9,0.0,0.0,0.0,0.0,1.12,3.31,0.6,23.06,2.94,37.06,8.13,4.38,271.88,28.41,38.56,0.0,1.56,43.4,1931.19,0.22
