Cluster,No_mbtree,No_asm,No_cabac,No_scenecut,Aq_strength,Bframes,Qcomp,Qp,Ref,Rc_lookahead,B_bias,Threads,Keyint,Crf,Scenecut,Seek,Ipratio,PSNR-,Energy-,d2h
0,0.0,0.0,1.0,0.0,1.08,12.77,0.62,25.49,4.54,124.01,5.58,64.19,473.95,30.48,51.2,604.28,1.02,43.5,1015.3,0.21
1,0.0,1.0,0.0,0.0,1.07,12.51,0.61,24.9,4.32,124.6,-0.41,65.21,525.73,30.43,51.9,605.35,1.06,43.38,3223.24,0.28
2,0.0,0.0,0.0,1.0,1.01,13.11,0.61,25.14,4.68,124.17,3.93,63.01,474.63,29.85,50.18,607.58,1.07,43.9,1035.32,0.21
3,1.0,0.0,0.0,0.0,1.06,12.67,0.59,26.36,4.62,126.66,1.93,65.05,481.57,29.71,52.18,593.68,1.03,46.37,1054.74,0.23
4,1.0,0.0,0.0,0.0,0.94,3.36,0.65,24.64,3.0,38.64,14.36,4.73,288.18,27.47,46.0,0.0,1.42,45.68,2010.19,0.25
5,0.0,0.0,0.0,0.0,1.02,13.11,0.59,25.3,4.45,132.39,0.63,65.56,522.43,29.41,51.55,641.35,1.08,44.48,977.12,0.21
6,0.0,0.0,0.0,1.0,1.26,2.8,0.64,21.8,2.4,30.2,5.6,3.6,264.0,23.74,34.4,0.0,1.6,46.52,1981.64,0.25
7,0.0,1.0,0.0,0.0,1.03,3.4,0.63,23.8,3.1,38.2,15.8,5.2,292.0,23.92,46.6,0.0,1.08,43.56,7409.88,0.49
8,0.0,0.0,1.0,0.0,1.1,3.5,0.6,30.12,3.0,40.75,7.25,5.5,302.5,25.78,48.25,0.0,1.53,45.07,1869.32,0.24
9,0.0,0.0,0.0,0.0,1.02,2.33,0.62,25.33,3.33,40.17,26.0,4.0,273.33,22.07,43.67,0.0,1.4,45.13,2272.39,0.25
