Cluster,No_mbtree,No_asm,No_cabac,No_scenecut,Aq_strength,Bframes,Qcomp,Qp,Ref,Rc_lookahead,B_bias,Threads,Keyint,Crf,Scenecut,Seek,Ipratio,PSNR-,Energy-,d2h
0,0.0,0.0,1.0,0.0,0.7,15.4,0.72,27.2,4.2,84.0,34.0,77.4,400.6,28.62,34.0,418.0,0.98,43.48,1360.61,0.4
1,0.0,0.0,1.0,0.0,1.0,10.14,0.69,29.14,6.0,95.86,5.29,86.0,619.43,30.9,43.43,776.29,1.0,44.79,666.44,0.42
2,0.0,0.0,0.0,0.0,1.05,13.44,0.58,25.5,4.33,139.33,-25.56,54.94,611.5,29.21,48.67,673.44,0.89,44.42,914.23,0.41
3,1.0,0.0,0.0,0.0,0.9,12.43,0.46,29.14,4.29,84.0,34.0,86.0,524.29,25.2,67.0,656.86,1.1,49.65,1050.94,0.53
4,1.0,0.0,0.0,0.0,1.22,17.0,0.57,25.5,5.5,160.08,-16.25,64.5,445.0,29.95,45.0,557.33,0.93,46.17,1277.03,0.46
5,0.0,0.0,0.0,0.0,1.17,17.0,0.6,19.83,6.0,84.0,0.5,78.83,445.0,25.52,67.0,487.67,1.28,45.96,1520.21,0.46
6,0.0,1.0,0.0,0.0,1.26,9.0,0.64,20.4,4.2,167.0,20.6,43.0,334.0,31.28,34.0,752.4,1.26,44.43,2098.16,0.45
7,0.0,0.0,0.0,0.0,1.12,9.0,0.48,30.6,4.8,167.0,-19.6,77.4,334.0,28.62,67.0,585.2,1.26,44.36,1168.65,0.42
8,0.0,0.0,1.0,0.0,0.87,17.0,0.6,23.38,4.12,167.0,0.5,75.25,625.38,29.95,62.88,470.25,0.79,42.61,1309.25,0.38
9,0.0,0.0,0.0,1.0,1.12,13.8,0.56,30.6,5.4,167.0,20.6,73.1,467.2,32.61,63.7,585.2,1.05,41.59,1108.33,0.35
10,1.0,0.0,0.0,0.0,1.3,10.14,0.69,24.29,3.43,95.86,-23.43,43.0,571.86,27.1,34.0,656.86,0.9,48.99,997.25,0.52
