Cluster,No_mbtree,No_asm,No_cabac,No_scenecut,Aq_strength,Bframes,Qcomp,Qp,Ref,Rc_lookahead,B_bias,Threads,Keyint,Crf,Scenecut,Seek,Ipratio,PSNR-,Energy-,d2h
0,0.0,0.0,0.0,0.0,1.03,12.69,0.6,24.75,4.41,128.14,-2.75,65.47,505.82,29.83,50.98,630.69,1.06,44.37,975.52,0.21
1,0.0,0.0,0.0,1.0,1.07,13.02,0.61,25.58,4.53,123.76,2.52,63.44,503.68,30.15,49.91,622.65,1.04,43.75,989.01,0.21
2,1.0,0.0,0.0,0.0,1.07,13.11,0.6,25.9,4.56,125.89,-0.03,63.89,511.53,30.05,49.93,607.88,1.07,46.33,1041.26,0.23
3,0.0,0.0,1.0,0.0,1.0,13.04,0.58,25.29,4.58,129.45,0.14,66.59,496.96,30.11,50.07,624.72,1.06,43.63,988.48,0.2
4,0.0,1.0,0.0,0.0,1.02,13.09,0.62,25.4,4.63,128.81,0.85,65.45,509.04,29.9,50.02,627.38,1.04,44.02,3127.64,0.26
5,1.0,0.0,0.0,0.0,0.88,2.88,0.57,21.63,2.62,31.44,9.75,4.0,243.19,27.71,38.94,0.0,1.47,45.33,2021.37,0.24
6,0.0,0.0,1.0,0.0,1.02,3.06,0.57,27.0,2.89,35.83,-5.39,4.0,273.33,28.73,41.5,0.0,1.21,41.68,1808.47,0.2
7,0.0,0.0,0.0,0.0,0.94,3.29,0.59,22.9,3.05,42.71,2.0,4.67,256.29,24.63,42.86,0.0,1.43,45.73,2010.98,0.24
8,0.0,1.0,0.0,0.0,1.18,3.0,0.63,23.87,3.0,33.7,-3.0,4.43,238.83,23.0,39.96,0.0,1.43,46.71,7103.42,0.44
9,0.0,0.0,0.0,1.0,1.12,2.71,0.64,22.57,2.93,40.14,8.0,4.57,234.43,25.06,43.14,0.0,1.36,44.63,1932.13,0.23
10,0.0,1.0,0.0,1.0,1.0,2.71,0.6,19.71,2.57,34.43,0.0,4.0,143.29,23.0,34.43,0.0,0.89,42.05,5304.25,0.33
