Cluster,No_mbtree,No_asm,No_cabac,No_scenecut,Aq_strength,Bframes,Qcomp,Qp,Ref,Rc_lookahead,B_bias,Threads,Keyint,Crf,Scenecut,Seek,Ipratio,PSNR-,Energy-,d2h
0,0.0,0.0,0.0,1.0,1.02,13.11,0.59,24.89,4.61,125.58,1.74,64.45,492.31,29.71,49.11,634.7,1.09,44.22,977.22,0.23
1,0.0,0.0,0.0,0.0,1.04,12.7,0.62,25.9,4.58,129.36,-0.92,63.6,511.35,31.08,51.0,619.87,1.04,43.41,1014.19,0.22
2,0.0,1.0,0.0,0.0,1.03,13.43,0.62,24.72,4.49,128.15,-1.16,66.48,501.68,31.13,47.34,610.7,1.01,42.92,3187.38,0.3
3,0.0,0.0,1.0,0.0,1.08,13.02,0.6,25.16,4.66,129.39,-2.15,64.01,500.33,30.23,49.86,606.38,1.07,43.53,1042.86,0.22
4,1.0,0.0,0.0,0.0,1.05,12.13,0.61,26.13,4.51,131.69,0.24,63.14,512.31,30.73,51.76,606.58,1.05,45.89,997.85,0.24
5,0.0,0.0,1.0,0.0,0.9,3.17,0.58,19.17,3.08,38.75,9.42,5.0,243.5,27.1,42.25,0.0,1.48,44.06,1705.78,0.25
6,1.0,0.0,0.0,0.0,1.31,3.43,0.63,20.71,3.29,37.29,-7.57,5.14,290.0,25.11,46.29,0.0,1.13,46.09,2256.7,0.28
7,0.0,0.0,0.0,0.0,0.86,3.06,0.58,24.0,2.81,39.06,19.56,4.75,260.69,24.45,39.25,0.0,1.24,43.94,2014.24,0.26
8,0.0,1.0,0.0,0.0,0.82,3.0,0.65,29.0,3.0,45.5,-4.33,5.0,285.0,24.85,45.5,0.0,1.12,43.62,7174.35,0.53
9,0.0,0.0,0.0,1.0,0.98,2.5,0.64,19.38,3.12,31.62,3.5,4.25,258.75,28.59,41.38,0.0,1.01,40.73,2040.39,0.23
