Cluster,No_mbtree,No_asm,No_cabac,No_scenecut,Aq_strength,Bframes,Qcomp,Qp,Ref,Rc_lookahead,B_bias,Threads,Keyint,Crf,Scenecut,Seek,Ipratio,PSNR-,Energy-,d2h
0,0.0,0.0,0.0,1.0,1.02,12.97,0.61,25.08,4.52,127.57,2.13,64.44,496.76,29.78,49.46,619.91,1.06,44.01,1015.55,0.22
1,0.0,0.0,0.0,0.0,1.03,12.54,0.61,25.2,4.6,125.77,-1.74,63.05,512.85,30.44,50.62,610.21,1.04,43.74,1046.64,0.22
2,0.0,1.0,0.0,0.0,1.04,13.21,0.6,24.57,4.48,128.02,-0.4,65.71,499.39,30.13,49.25,611.42,1.02,43.57,3227.26,0.28
3,0.0,0.0,1.0,0.0,1.06,13.01,0.6,25.38,4.52,130.1,-1.04,63.3,486.63,30.09,50.18,621.95,1.05,43.75,998.62,0.22
4,1.0,0.0,0.0,0.0,1.0,3.0,0.67,19.17,2.5,27.0,0.0,4.0,250.0,27.5,100.0,0.0,1.4,45.76,2143.7,0.26
5,1.0,0.0,0.0,0.0,1.05,12.78,0.59,25.9,4.6,127.58,-1.83,64.19,486.22,30.22,50.39,621.89,1.06,46.56,1004.12,0.25
6,0.0,0.0,1.0,0.0,0.8,3.22,0.61,21.22,3.06,37.06,0.78,4.89,253.44,25.42,42.72,0.0,1.38,44.96,1902.35,0.25
7,1.0,0.0,0.0,0.0,1.16,3.12,0.51,24.82,3.12,40.29,8.71,4.0,260.12,22.6,44.53,0.0,1.3,47.98,2308.89,0.28
8,0.0,0.0,0.0,0.0,0.96,3.12,0.59,23.27,2.85,40.27,21.88,4.46,261.96,24.18,38.88,0.0,1.33,44.37,2029.87,0.25
9,0.0,1.0,0.0,0.0,1.01,3.12,0.56,25.35,3.18,42.06,5.06,4.82,278.82,24.52,44.53,0.0,1.18,43.33,7186.11,0.44
10,0.0,0.0,0.0,1.0,0.95,2.95,0.63,18.05,3.0,36.75,16.5,4.5,255.05,27.32,40.8,0.0,1.15,42.71,1955.61,0.23
