Cluster,No_mbtree,No_asm,No_cabac,No_scenecut,Aq_strength,Bframes,Qcomp,Qp,Ref,Rc_lookahead,B_bias,Threads,Keyint,Crf,Scenecut,Seek,Ipratio,PSNR-,Energy-,d2h
0,0.0,0.0,0.0,0.0,1.03,2.96,0.61,21.24,2.96,33.12,12.48,4.32,241.28,24.71,32.4,0.0,1.34,44.41,2013.74,0.23
1,0.0,1.0,0.0,0.0,1.01,13.31,0.59,25.27,4.59,125.82,0.9,64.49,504.63,29.92,51.53,614.41,1.03,43.78,3177.96,0.26
2,0.0,0.0,1.0,0.0,1.08,12.82,0.6,25.9,4.48,123.11,0.01,65.39,498.57,30.3,52.62,624.01,1.06,43.66,975.63,0.21
3,0.0,0.0,0.0,1.0,1.08,13.47,0.6,24.72,4.47,124.5,-0.72,63.34,507.52,29.44,50.66,618.31,1.01,44.14,1027.82,0.21
4,0.0,0.0,0.0,0.0,1.05,12.5,0.61,24.7,4.48,126.94,2.83,65.44,505.72,30.31,48.82,629.81,1.03,43.78,1000.47,0.21
5,1.0,0.0,0.0,0.0,1.05,13.06,0.59,25.95,4.51,127.8,2.04,63.69,503.42,29.86,49.97,626.48,1.03,46.66,1002.65,0.23
6,0.0,0.0,1.0,0.0,1.01,3.0,0.69,16.36,2.71,41.64,-10.93,4.0,252.21,23.13,43.14,0.0,1.36,46.05,2058.18,0.25
7,1.0,0.0,0.0,0.0,0.85,3.09,0.64,16.27,3.18,41.09,-20.55,4.18,246.45,28.92,39.45,0.0,1.56,44.75,1998.29,0.23
8,0.0,1.0,0.0,0.0,1.13,2.69,0.6,25.15,2.85,35.54,-7.54,4.62,252.38,28.29,43.38,0.0,1.41,43.3,6234.41,0.38
9,0.0,0.0,1.0,1.0,0.88,2.75,0.42,14.38,2.63,40.0,0.0,4.0,218.88,23.0,30.25,0.0,1.12,42.41,1879.69,0.21
10,0.0,0.0,0.0,1.0,1.04,2.29,0.63,22.14,2.57,30.43,-10.29,3.71,224.43,19.81,41.57,0.0,1.46,48.42,2311.05,0.27
