Cluster,No_mbtree,No_asm,No_cabac,No_scenecut,Aq_strength,Bframes,Qcomp,Qp,Ref,Rc_lookahead,B_bias,Threads,Keyint,Crf,Scenecut,Seek,Ipratio,PSNR-,Energy-,d2h
0,0.0,0.0,1.0,0.0,1.05,13.19,0.59,26.19,4.51,127.91,2.06,65.25,495.15,30.04,51.54,617.83,1.04,43.7,1000.77,0.22
1,0.0,0.0,0.0,1.0,1.05,12.9,0.59,25.17,4.43,125.36,3.42,63.83,510.36,30.16,51.02,621.9,1.02,43.63,997.99,0.22
2,1.0,0.0,0.0,0.0,1.05,12.6,0.59,24.33,4.55,127.41,0.53,65.19,496.17,29.44,49.46,616.99,1.02,46.89,1032.03,0.25
3,0.0,0.0,0.0,0.0,1.06,12.88,0.6,25.16,4.49,124.73,1.05,63.51,518.8,30.18,51.24,616.24,1.06,43.96,1014.0,0.22
4,0.0,1.0,0.0,0.0,1.18,3.12,0.59,21.75,3.19,36.44,13.31,4.25,260.69,23.57,41.69,0.0,1.49,46.38,7147.16,0.41
5,0.0,1.0,0.0,0.0,1.03,13.13,0.6,25.49,4.44,125.31,0.37,64.56,488.53,30.6,50.72,624.93,1.02,43.46,3040.46,0.26
6,1.0,0.0,0.0,0.0,1.04,3.0,0.61,24.67,3.17,36.92,6.62,4.5,262.96,24.27,40.42,0.0,1.44,47.29,2310.44,0.27
7,0.0,0.0,0.0,0.0,1.04,3.06,0.67,18.0,3.19,35.06,19.5,4.25,220.81,25.61,37.87,0.0,1.27,45.25,1855.34,0.24
8,0.0,0.0,0.0,1.0,0.91,3.0,0.54,23.5,2.93,40.14,15.14,4.29,252.21,25.06,40.36,0.0,1.26,43.2,1943.51,0.23
9,0.0,0.0,1.0,0.0,1.05,3.27,0.61,26.0,2.73,34.93,10.47,4.27,252.07,24.92,40.33,0.0,1.31,44.34,1956.57,0.24
10,1.0,0.0,0.0,1.0,1.4,2.6,0.36,9.2,3.0,40.0,0.0,4.0,250.0,23.0,40.0,0.0,0.84,45.39,2536.55,0.26
