Cluster,No_mbtree,No_asm,No_cabac,No_scenecut,Aq_strength,Bframes,Qcomp,Qp,Ref,Rc_lookahead,B_bias,Threads,Keyint,Crf,Scenecut,Seek,Ipratio,PSNR-,Energy-,d2h
0,1.0,0.0,0.0,0.0,1.04,12.87,0.61,25.47,4.5,124.79,1.95,61.7,494.41,30.29,50.57,619.01,1.05,46.31,987.91,0.23
1,0.0,1.0,0.0,0.0,1.06,13.04,0.61,26.23,4.48,129.82,1.25,64.81,512.95,30.06,51.48,621.36,1.01,43.82,3126.18,0.26
2,0.0,0.0,0.0,0.0,1.03,12.52,0.58,25.41,4.57,124.6,2.02,62.26,500.86,29.73,49.44,619.18,1.06,44.1,1024.99,0.21
3,0.0,0.0,0.0,1.0,1.04,12.88,0.59,24.63,4.66,124.36,-1.07,64.27,523.54,30.33,51.08,636.51,1.03,43.64,980.3,0.21
4,0.0,0.0,1.0,0.0,1.06,3.19,0.61,27.69,3.06,35.37,-11.63,5.0,269.44,25.72,45.5,0.0,1.38,44.22,1936.03,0.23
5,0.0,0.0,1.0,0.0,1.04,13.03,0.61,25.69,4.56,126.43,1.87,64.29,502.76,30.2,50.17,627.13,1.06,43.78,971.27,0.21
6,0.0,0.0,0.0,1.0,0.98,3.17,0.57,18.72,2.78,36.78,-16.56,4.0,237.89,23.1,38.11,0.0,0.87,42.33,1965.69,0.21
7,1.0,0.0,0.0,0.0,1.12,3.35,0.52,24.9,2.9,39.3,4.7,4.95,267.85,28.86,42.6,0.4,1.19,43.93,1972.24,0.23
8,0.0,1.0,0.0,0.0,1.09,3.24,0.64,22.35,2.94,33.71,7.65,4.59,226.65,27.32,43.24,0.0,1.14,41.81,6352.16,0.37
9,0.0,1.0,0.0,0.0,0.8,3.0,0.48,23.0,9.0,40.0,0.0,2.4,250.0,23.0,32.2,0.0,1.4,46.59,10886.41,0.59
10,1.0,0.0,1.0,0.0,0.8,3.0,0.68,23.0,2.4,32.2,-20.0,4.0,200.2,23.0,40.0,0.0,1.52,47.9,2010.84,0.26
11,0.0,0.0,0.0,0.0,1.35,3.17,0.62,21.0,2.83,33.67,9.33,4.67,231.83,28.73,37.17,0.0,1.63,43.4,1760.64,0.22
