Cluster,No_mbtree,No_asm,No_cabac,No_scenecut,Aq_strength,Bframes,Qcomp,Qp,Ref,Rc_lookahead,B_bias,Threads,Keyint,Crf,Scenecut,Seek,Ipratio,PSNR-,Energy-,d2h
0,0.0,0.0,1.0,0.0,1.07,12.82,0.63,25.97,4.47,121.89,0.2,64.47,476.04,30.46,51.41,612.45,1.04,43.56,1003.79,0.21
1,0.0,1.0,0.0,0.0,1.05,12.82,0.59,25.01,4.34,126.47,0.44,64.7,523.82,29.96,50.35,616.54,1.05,43.78,3159.7,0.27
2,0.0,0.0,0.0,1.0,1.04,13.08,0.61,25.48,4.58,127.97,2.31,63.69,490.18,29.57,50.66,622.21,1.06,44.19,1013.85,0.21
3,1.0,0.0,0.0,0.0,1.04,12.74,0.59,25.83,4.59,124.89,1.44,66.41,489.11,29.52,50.71,608.65,1.06,46.72,1047.12,0.24
4,1.0,0.0,0.0,0.0,0.97,3.38,0.67,24.92,3.0,38.08,10.08,4.77,287.69,29.15,45.92,0.0,1.45,44.6,1946.3,0.24
5,0.0,0.0,0.0,0.0,1.03,13.04,0.59,24.99,4.41,126.93,0.99,64.84,496.29,30.09,49.81,634.49,1.09,44.16,963.82,0.21
6,0.0,0.0,0.0,1.0,1.01,3.0,0.69,23.11,2.44,33.44,11.22,4.0,265.56,26.82,38.11,0.0,1.62,44.8,1915.4,0.24
7,0.0,1.0,0.0,0.0,1.09,3.38,0.65,22.75,3.0,38.94,9.94,4.75,285.0,24.91,45.5,0.0,1.16,44.13,6977.11,0.46
8,0.0,0.0,1.0,0.0,1.11,3.37,0.61,27.06,3.12,37.38,11.69,5.12,289.37,25.08,46.19,0.0,1.52,45.42,1945.36,0.24
9,0.0,0.0,0.0,0.0,1.06,3.05,0.51,26.19,3.38,38.86,2.0,4.67,256.29,23.97,42.86,0.0,1.27,43.73,1992.05,0.23
