Cluster,No_mbtree,No_asm,No_cabac,No_scenecut,Aq_strength,Bframes,Qcomp,Qp,Ref,Rc_lookahead,B_bias,Threads,Keyint,Crf,Scenecut,Seek,Ipratio,PSNR-,Energy-,d2h
0,0.0,0.0,0.0,0.0,1.04,12.54,0.61,25.29,4.64,126.08,7.77,63.8,489.6,30.14,50.42,626.03,0.97,43.73,1012.33,0.25
1,1.0,0.0,0.0,0.0,1.04,13.45,0.61,25.31,4.56,123.32,0.25,64.02,531.8,30.0,46.9,634.86,1.05,46.68,983.1,0.29
2,0.0,0.0,1.0,0.0,1.04,12.98,0.59,24.59,4.28,125.89,-1.21,64.4,514.82,30.14,51.42,649.73,1.01,43.83,922.42,0.25
3,0.0,1.0,0.0,0.0,1.06,13.07,0.59,25.94,4.44,122.91,3.85,66.4,531.3,30.0,50.08,648.52,1.05,44.01,2941.04,0.3
4,0.0,1.0,0.0,0.0,0.91,2.91,0.65,18.45,3.36,41.18,7.73,4.55,236.55,24.68,41.45,0.0,1.38,45.97,6436.25,0.46
5,0.0,0.0,0.0,1.0,1.05,12.45,0.59,25.21,4.39,130.04,2.25,63.79,504.25,29.76,53.24,639.53,1.03,44.1,964.55,0.26
6,0.0,0.0,1.0,0.0,1.35,3.0,0.62,23.17,3.33,33.67,9.33,4.0,231.83,24.23,43.67,0.0,1.18,43.6,1851.64,0.26
7,1.0,0.0,0.0,0.0,1.19,3.08,0.57,31.15,2.92,42.62,6.54,4.77,257.77,24.42,44.23,0.0,1.34,46.83,2140.11,0.31
8,0.0,0.0,0.0,1.0,0.92,3.15,0.57,17.31,2.77,37.92,-5.46,4.15,247.0,25.93,39.54,0.0,1.17,44.02,1853.96,0.27
9,0.0,1.0,0.0,0.0,1.0,3.0,0.6,23.0,3.0,40.0,20.0,2.4,250.0,28.4,100.0,0.0,1.12,41.08,7222.86,0.46
10,0.0,0.0,0.0,0.0,0.77,3.0,0.68,27.83,3.17,43.67,26.0,4.67,231.83,24.23,43.67,0.0,0.95,41.43,1925.5,0.24
